cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[1.0],TempProf_cur[2.0],TempProf_cur[3.0],TempProf_cur[4.0],TempProf_cur[5.0],TempProf_cur[6.0],TempProf_cur[7.0],TempProf_cur[8.0],TempProf_cur[9.0],TempProf_cur[10.0],TempProf_cur[11.0],TempProf_cur[12.0],TempProf_cur[13.0],TempProf_cur[14.0],TempProf_cur[15.0],TempProf_cur[16.0],TempProf_cur[17.0],TempProf_cur[18.0],TempProf_cur[19.0],TempProf_cur[20.0],TempProf_cur[21.0],TempProf_cur[22.0],TempProf_cur[23.0],TempProf_cur[24.0],TempProf_cur[25.0],TempProf_cur[26.0],TempProf_cur[27.0],TempProf_cur[28.0],TempProf_cur[29.0],TempProf_cur[30.0],TempProf_cur[31.0],TempProf_cur[32.0],TempProf_cur[33.0],TempProf_cur[34.0],TempProf_cur[35.0],TempProf_cur[36.0],TempProf_cur[37.0],TempProf_cur[38.0],TempProf_cur[39.0],TempProf_cur[40.0],TempProf_cur[41.0],TempProf_cur[42.0],TempProf_cur[43.0],TempProf_cur[44.0],TempProf_cur[45.0],TempProf_cur[46.0],TempProf_cur[47.0],TempProf_cur[48.0],TempProf_cur[49.0],TempProf_cur[50.0],PresProf_cur[1.0],PresProf_cur[2.0],PresProf_cur[3.0],PresProf_cur[4.0],PresProf_cur[5.0],PresProf_cur[6.0],PresProf_cur[7.0],PresProf_cur[8.0],PresProf_cur[9.0],PresProf_cur[10.0],PresProf_cur[11.0],PresProf_cur[12.0],PresProf_cur[13.0],PresProf_cur[14.0],PresProf_cur[15.0],PresProf_cur[16.0],PresProf_cur[17.0],PresProf_cur[18.0],PresProf_cur[19.0],PresProf_cur[20.0],PresProf_cur[21.0],PresProf_cur[22.0],PresProf_cur[23.0],PresProf_cur[24.0],PresProf_cur[25.0],PresProf_cur[26.0],PresProf_cur[27.0],PresProf_cur[28.0],PresProf_cur[29.0],PresProf_cur[30.0],PresProf_cur[31.0],PresProf_cur[32.0],PresProf_cur[33.0],PresProf_cur[34.0],PresProf_cur[35.0],PresProf_cur[36.0],PresProf_cur[37.0],PresProf_cur[38.0],PresProf_cur[39.0],PresProf_cur[40.0],PresProf_cur[41.0],PresProf_cur[42.0],PresProf_cur[43.0],PresProf_cur[44.0],PresProf_cur[45.0],PresProf_cur[46.0],PresProf_cur[47.0],PresProf_cur[48.0],PresProf_cur[49.0],PresProf_cur[50.0],
2004-06-01 00:50:00,289.595,288.800,0.000,290.798,291.391,290.299,287.333,99710.222,290.236,290.127,290.019,289.914,289.812,289.715,289.625,289.541,289.464,289.393,289.328,289.267,289.212,289.160,289.107,289.004,288.982,288.966,288.953,288.942,288.932,288.924,288.917,288.911,288.904,288.898,288.893,288.887,288.882,288.877,288.872,288.867,288.862,288.858,288.853,288.849,288.845,288.841,288.837,288.833,288.830,288.826,288.822,288.819,288.816,288.812,288.809,288.806,288.803,288.800,100313.832,100302.017,100290.197,100278.375,100266.549,100254.721,100242.889,100231.055,100219.218,100207.380,100195.540,100183.698,100171.855,100160.010,100148.165,100136.317,100124.468,100112.619,100100.770,100088.922,100077.074,100065.227,100053.381,100041.535,100029.691,100017.847,100006.003,99994.161,99982.319,99970.478,99958.638,99946.799,99934.960,99923.122,99911.286,99899.449,99887.614,99875.780,99863.946,99852.113,99840.282,99828.451,99816.620,99804.791,99792.963,99781.135,99769.308,99757.482,99745.657,99733.833,
2004-06-01 00:55:00,289.491,288.682,0.000,290.776,291.371,290.212,287.333,99707.861,290.140,290.031,289.921,289.814,289.711,289.613,289.522,289.437,289.359,289.287,289.220,289.159,289.103,289.050,288.996,288.892,288.869,288.852,288.839,288.827,288.818,288.810,288.803,288.796,288.789,288.783,288.777,288.772,288.766,288.761,288.756,288.751,288.746,288.742,288.737,288.733,288.729,288.725,288.721,288.717,288.713,288.709,288.706,288.702,288.699,288.695,288.692,288.689,288.685,288.682,100314.058,100302.239,100290.416,100278.589,100266.759,100254.926,100243.091,100231.252,100219.411,100207.569,100195.724,100183.878,100172.030,100160.181,100148.331,100136.479,100124.625,100112.771,100100.918,100089.065,100077.213,100065.361,100053.510,100041.660,100029.810,100017.961,100006.113,99994.266,99982.420,99970.574,99958.729,99946.885,99935.042,99923.199,99911.357,99899.517,99887.677,99875.837,99863.999,99852.161,99840.325,99828.489,99816.654,99804.820,99792.987,99781.154,99769.323,99757.492,99745.662,99733.833,
2004-06-01 01:00:00,289.405,288.591,0.000,290.748,291.340,290.144,287.333,99705.500,290.054,289.945,289.837,289.731,289.628,289.530,289.438,289.353,289.274,289.201,289.134,289.072,289.016,288.962,288.907,288.801,288.778,288.761,288.747,288.736,288.726,288.718,288.711,288.704,288.698,288.691,288.685,288.680,288.674,288.669,288.664,288.659,288.654,288.650,288.645,288.641,288.637,288.633,288.629,288.625,288.621,288.618,288.614,288.611,288.607,288.604,288.601,288.597,288.594,288.591,100314.240,100302.417,100290.590,100278.760,100266.927,100255.090,100243.251,100231.409,100219.565,100207.719,100195.871,100184.021,100172.169,100160.317,100148.463,100136.607,100124.749,100112.892,100101.035,100089.178,100077.322,100065.467,100053.612,100041.758,100029.905,100018.052,100006.200,99994.349,99982.499,99970.649,99958.801,99946.953,99935.106,99923.259,99911.414,99899.569,99887.726,99875.883,99864.040,99852.199,99840.359,99828.519,99816.680,99804.842,99793.005,99781.169,99769.334,99757.500,99745.666,99733.833,
2004-06-01 01:05:00,289.342,288.519,0.000,290.723,291.311,290.083,287.342,99703.931,289.994,289.885,289.777,289.670,289.567,289.468,289.376,289.290,289.210,289.137,289.069,289.007,288.949,288.895,288.839,288.732,288.708,288.691,288.677,288.665,288.655,288.647,288.640,288.633,288.626,288.620,288.614,288.608,288.603,288.597,288.592,288.587,288.582,288.578,288.573,288.569,288.565,288.561,288.557,288.553,288.549,288.546,288.542,288.539,288.535,288.532,288.529,288.525,288.522,288.519,100314.379,100302.554,100290.725,100278.892,100267.056,100255.217,100243.376,100231.531,100219.684,100207.835,100195.985,100184.132,100172.278,100160.423,100148.566,100136.707,100124.847,100112.986,100101.126,100089.267,100077.408,100065.550,100053.692,100041.835,100029.979,100018.123,100006.268,99994.414,99982.561,99970.709,99958.857,99947.006,99935.156,99923.307,99911.458,99899.611,99887.764,99875.918,99864.073,99852.229,99840.385,99828.543,99816.701,99804.860,99793.020,99781.181,99769.343,99757.505,99745.669,99733.833,
2004-06-01 01:10:00,289.287,288.461,0.000,290.698,291.283,290.024,287.351,99702.361,289.933,289.826,289.719,289.613,289.511,289.413,289.321,289.236,289.156,289.083,289.015,288.953,288.895,288.841,288.785,288.676,288.652,288.635,288.620,288.608,288.598,288.590,288.582,288.575,288.569,288.562,288.556,288.550,288.545,288.539,288.534,288.529,288.524,288.520,288.515,288.511,288.507,288.503,288.499,288.495,288.491,288.487,288.484,288.480,288.477,288.473,288.470,288.467,288.464,288.461,100314.494,100302.666,100290.835,100279.000,100267.162,100255.321,100243.477,100231.630,100219.781,100207.930,100196.077,100184.222,100172.366,100160.508,100148.650,100136.788,100124.926,100113.063,100101.200,100089.339,100077.477,100065.616,100053.756,100041.897,100030.038,100018.181,100006.323,99994.467,99982.611,99970.757,99958.903,99947.049,99935.197,99923.345,99911.494,99899.644,99887.795,99875.947,99864.099,99852.253,99840.407,99828.562,99816.718,99804.875,99793.032,99781.191,99769.350,99757.510,99745.671,99733.833,
2004-06-01 01:15:00,289.230,288.395,0.000,290.673,291.253,289.967,287.360,99700.792,289.876,289.769,289.663,289.557,289.455,289.357,289.265,289.180,289.100,289.027,288.959,288.897,288.839,288.784,288.727,288.618,288.593,288.575,288.560,288.548,288.538,288.529,288.521,288.514,288.507,288.501,288.494,288.488,288.483,288.477,288.472,288.467,288.462,288.457,288.452,288.448,288.443,288.439,288.435,288.431,288.427,288.423,288.419,288.416,288.412,288.408,288.405,288.402,288.398,288.395,100314.617,100302.787,100290.953,100279.116,100267.275,100255.432,100243.586,100231.737,100219.885,100208.032,100196.176,100184.319,100172.461,100160.601,100148.740,100136.876,100125.011,100113.146,100101.281,100089.417,100077.553,100065.689,100053.827,100041.965,100030.104,100018.243,100006.384,99994.525,99982.667,99970.809,99958.953,99947.097,99935.242,99923.388,99911.534,99899.682,99887.830,99875.979,99864.129,99852.279,99840.431,99828.583,99816.737,99804.891,99793.046,99781.201,99769.358,99757.516,99745.674,99733.833,
2004-06-01 01:20:00,289.165,288.338,0.000,290.645,291.222,289.911,287.369,99699.222,289.802,289.697,289.592,289.488,289.387,289.291,289.200,289.115,289.037,288.964,288.898,288.836,288.779,288.724,288.668,288.560,288.535,288.517,288.502,288.490,288.480,288.472,288.464,288.457,288.450,288.443,288.437,288.431,288.425,288.420,288.414,288.409,288.404,288.400,288.395,288.390,288.386,288.382,288.378,288.374,288.370,288.366,288.362,288.359,288.355,288.352,288.348,288.345,288.342,288.338,100314.737,100302.904,100291.067,100279.227,100267.384,100255.538,100243.689,100231.837,100219.983,100208.127,100196.269,100184.409,100172.548,100160.686,100148.822,100136.956,100125.089,100113.221,100101.354,100089.487,100077.621,100065.755,100053.890,100042.026,100030.163,100018.300,100006.438,99994.577,99982.716,99970.856,99958.997,99947.139,99935.282,99923.425,99911.569,99899.714,99887.860,99876.007,99864.154,99852.303,99840.452,99828.602,99816.753,99804.905,99793.057,99781.211,99769.365,99757.520,99745.676,99733.833,
2004-06-01 01:25:00,289.102,288.276,0.000,290.616,291.189,289.856,287.378,99697.653,289.737,289.632,289.527,289.423,289.322,289.226,289.135,289.051,288.973,288.901,288.835,288.773,288.717,288.663,288.607,288.499,288.475,288.457,288.442,288.430,288.420,288.411,288.403,288.396,288.389,288.382,288.376,288.370,288.364,288.359,288.353,288.348,288.343,288.338,288.334,288.329,288.325,288.321,288.316,288.312,288.308,288.304,288.301,288.297,288.293,288.290,288.286,288.283,288.280,288.276,100314.862,100303.026,100291.187,100279.344,100267.498,100255.649,100243.798,100231.943,100220.087,100208.228,100196.367,100184.505,100172.642,100160.777,100148.911,100137.042,100125.172,100113.302,100101.432,100089.563,100077.694,100065.826,100053.959,100042.092,100030.226,100018.361,100006.496,99994.632,99982.769,99970.907,99959.045,99947.185,99935.325,99923.466,99911.607,99899.750,99887.893,99876.037,99864.182,99852.328,99840.475,99828.622,99816.771,99804.920,99793.070,99781.221,99769.373,99757.525,99745.679,99733.833,
2004-06-01 01:30:00,289.035,288.221,0.000,290.587,291.156,289.802,287.387,99696.083,289.662,289.558,289.454,289.352,289.253,289.158,289.068,288.985,288.908,288.837,288.772,288.712,288.656,288.603,288.548,288.442,288.417,288.399,288.385,288.373,288.362,288.354,288.346,288.339,288.332,288.326,288.319,288.314,288.308,288.302,288.297,288.292,288.287,288.282,288.278,288.273,288.269,288.265,288.261,288.257,288.253,288.249,288.245,288.242,288.238,288.235,288.231,288.228,288.225,288.221,100314.982,100303.143,100291.300,100279.455,100267.606,100255.754,100243.900,100232.043,100220.183,100208.322,100196.459,100184.594,100172.728,100160.861,100148.992,100137.121,100125.249,100113.376,100101.504,100089.632,100077.761,100065.891,100054.021,100042.152,100030.284,100018.416,100006.549,99994.683,99982.817,99970.953,99959.089,99947.226,99935.364,99923.502,99911.642,99899.782,99887.923,99876.065,99864.207,99852.351,99840.495,99828.641,99816.787,99804.934,99793.081,99781.230,99769.380,99757.530,99745.681,99733.833,
2004-06-01 01:35:00,288.977,288.162,0.000,290.558,291.122,289.749,287.396,99694.514,289.605,289.501,289.396,289.294,289.194,289.099,289.010,288.927,288.850,288.779,288.714,288.653,288.598,288.544,288.490,288.384,288.359,288.341,288.327,288.315,288.304,288.296,288.288,288.281,288.274,288.268,288.261,288.255,288.250,288.244,288.239,288.234,288.229,288.224,288.219,288.215,288.210,288.206,288.202,288.198,288.194,288.190,288.186,288.183,288.179,288.176,288.172,288.169,288.166,288.162,100315.100,100303.258,100291.413,100279.565,100267.714,100255.860,100244.003,100232.144,100220.282,100208.418,100196.553,100184.686,100172.817,100160.947,100149.076,100137.203,100125.328,100113.453,100101.579,100089.705,100077.831,100065.958,100054.086,100042.215,100030.344,100018.474,100006.605,99994.736,99982.868,99971.001,99959.135,99947.269,99935.405,99923.541,99911.678,99899.816,99887.954,99876.094,99864.234,99852.375,99840.517,99828.660,99816.804,99804.948,99793.094,99781.240,99769.387,99757.535,99745.684,99733.833,
