cur_datetime,canTemp,ForcTemp_K,sensWaste,EP_floor_energy[0],EP_floor_energy[1],EP_floor_energy[2],wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,Floor[1]_OAT_K,Floor[2]_OAT_K,Floor[3]_OAT_K,TempProf_cur[2.62],TempProf_cur[6.58],TempProf_cur[10.54],
2006-06-01 00:05:00,292.169,291.486,0.000,0.000,0.000,0.000,285.646,285.738,282.547,291.258,99200.000,292.323,292.214,292.089,292.292,292.130,291.972,
2006-06-01 00:10:00,291.682,291.491,0.000,0.000,0.000,0.000,285.950,286.039,282.611,291.267,99200.000,291.773,291.692,291.635,291.742,291.651,291.595,
2006-06-01 00:15:00,291.809,291.491,0.000,0.000,0.000,0.000,286.287,286.371,282.721,291.275,99200.000,292.005,291.826,291.707,291.936,291.738,291.632,
2006-06-01 00:20:00,291.868,291.497,0.000,0.000,0.000,0.000,286.648,286.727,282.942,291.283,99200.000,292.145,291.893,291.723,292.050,291.768,291.617,
2006-06-01 00:25:00,291.790,291.499,0.000,0.000,0.000,0.000,287.027,287.102,283.457,291.292,99200.000,292.127,291.814,291.613,292.010,291.664,291.499,
2006-06-01 00:30:00,291.668,291.504,0.000,0.000,0.000,0.000,287.420,287.490,283.925,291.300,99200.000,291.967,291.693,291.509,291.868,291.556,291.403,
2006-06-01 00:35:00,291.582,291.507,0.000,0.000,0.000,0.000,287.823,287.889,284.556,291.308,99200.000,291.863,291.601,291.434,291.765,291.476,291.339,
2006-06-01 00:40:00,291.535,291.513,0.000,0.000,0.000,0.000,288.236,288.297,285.151,291.317,99200.000,291.789,291.551,291.401,291.699,291.439,291.315,
2006-06-01 00:45:00,291.524,291.517,0.000,0.000,0.000,0.000,288.659,288.707,285.779,291.325,99200.000,291.765,291.538,291.398,291.678,291.433,291.318,
2006-06-01 00:50:00,291.542,291.522,0.000,0.000,0.000,0.000,289.084,289.127,286.364,291.333,99200.000,291.771,291.556,291.423,291.689,291.456,291.345,
2006-06-01 00:55:00,291.572,291.526,0.000,0.000,0.000,0.000,289.513,289.552,286.958,291.342,99200.000,291.796,291.587,291.456,291.716,291.489,291.379,
2006-06-01 01:00:00,291.615,291.532,0.000,0.000,0.000,0.000,289.767,289.802,287.355,291.350,99200.000,291.833,291.630,291.501,291.756,291.534,291.423,
2006-06-01 01:05:00,291.643,291.530,0.000,0.000,0.000,0.000,289.952,289.985,287.694,291.350,99200.000,291.857,291.659,291.532,291.782,291.565,291.454,
2006-06-01 01:10:00,291.668,291.530,0.000,0.000,0.000,0.000,290.096,290.126,288.029,291.350,99200.000,291.877,291.684,291.559,291.804,291.591,291.481,
2006-06-01 01:15:00,291.684,291.528,0.000,0.000,0.000,0.000,290.210,290.238,288.279,291.350,99200.000,291.888,291.700,291.578,291.817,291.609,291.501,
