cur_datetime,canTemp,ForcTemp_K,sensWaste,EP_floor_energy[0],EP_floor_energy[1],EP_floor_energy[2],wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,Floor[1]_OAT_K,Floor[2]_OAT_K,Floor[3]_OAT_K,TempProf_cur[2.62],TempProf_cur[6.58],TempProf_cur[10.54],PresProf_cur[2.62],PresProf_cur[6.58],PresProf_cur[10.54],
2006-06-01 00:00:00,297.837,291.494,0.000,0.000,0.000,0.000,285.386,285.483,282.697,291.250,99200.000,298.095,297.974,297.726,298.073,297.829,297.339,99579.406,99533.770,99488.094,
2006-06-01 00:05:00,295.190,291.486,0.000,0.000,0.000,0.000,285.646,285.738,282.549,291.258,99200.000,295.810,295.495,294.884,295.749,295.122,294.139,99582.916,99536.842,99490.651,
2006-06-01 00:10:00,292.971,291.491,0.000,0.000,0.000,0.000,285.950,286.039,282.813,291.267,99200.000,293.415,293.117,292.733,293.344,292.857,292.386,99584.170,99537.723,99491.212,
2006-06-01 00:15:00,291.972,291.491,0.000,0.000,0.000,0.000,286.287,286.371,283.307,291.275,99200.000,292.274,292.024,291.812,292.193,291.873,291.660,99584.672,99538.052,99491.405,
2006-06-01 00:20:00,291.470,291.497,0.000,0.000,0.000,0.000,286.648,286.727,283.637,291.283,99200.000,291.663,291.490,291.367,291.602,291.399,291.294,99584.934,99538.229,99491.514,
2006-06-01 00:25:00,291.228,291.499,0.000,0.000,0.000,0.000,287.027,287.102,284.140,291.292,99200.000,291.432,291.233,291.120,291.356,291.146,291.069,99585.103,99538.356,99491.603,
2006-06-01 00:30:00,291.085,291.504,0.000,0.000,0.000,0.000,287.420,287.490,284.672,291.300,99200.000,291.248,291.088,290.998,291.187,291.018,290.960,99585.206,99538.435,99491.664,
2006-06-01 00:35:00,291.034,291.507,0.000,0.000,0.000,0.000,287.823,287.889,285.290,291.308,99200.000,291.210,291.031,290.942,291.139,290.960,290.909,99585.255,99538.475,99491.695,
2006-06-01 00:40:00,291.020,291.513,0.000,0.000,0.000,0.000,288.236,288.297,285.859,291.317,99200.000,291.167,291.019,290.943,291.109,290.959,290.915,99585.256,99538.475,99491.695,
2006-06-01 00:45:00,291.057,291.517,0.000,0.000,0.000,0.000,288.659,288.707,286.449,291.325,99200.000,291.211,291.053,290.977,291.147,290.992,290.949,99585.233,99538.458,99491.683,
2006-06-01 00:50:00,291.103,291.522,0.000,0.000,0.000,0.000,289.084,289.127,287.022,291.333,99200.000,291.242,291.101,291.030,291.186,291.045,291.003,99585.194,99538.426,99491.661,
2006-06-01 00:55:00,291.172,291.526,0.000,0.000,0.000,0.000,289.513,289.552,287.600,291.342,99200.000,291.317,291.170,291.096,291.258,291.112,291.067,99585.145,99538.388,99491.632,
2006-06-01 01:00:00,291.241,291.532,0.000,0.000,0.000,0.000,289.767,289.802,287.962,291.350,99200.000,291.378,291.242,291.170,291.325,291.186,291.138,99585.088,99538.343,99491.599,
2006-06-01 01:05:00,291.304,291.530,0.000,0.000,0.000,0.000,289.953,289.985,288.266,291.350,99200.000,291.446,291.306,291.231,291.390,291.248,291.196,99585.043,99538.308,99491.574,
2006-06-01 01:10:00,291.351,291.530,0.000,0.000,0.000,0.000,290.096,290.126,288.565,291.350,99200.000,291.487,291.354,291.280,291.435,291.297,291.243,99585.007,99538.279,99491.553,
2006-06-01 01:15:00,291.392,291.528,0.000,0.000,0.000,0.000,290.210,290.238,288.781,291.350,99200.000,291.530,291.396,291.321,291.478,291.338,291.283,99584.976,99538.256,99491.536,
2006-06-01 01:20:00,291.423,291.528,0.000,0.000,0.000,0.000,290.303,290.330,288.991,291.350,99200.000,291.556,291.427,291.353,291.506,291.370,291.315,99584.953,99538.237,99491.522,
2006-06-01 01:25:00,291.449,291.527,0.000,0.000,0.000,0.000,290.380,290.406,289.146,291.350,99200.000,291.583,291.454,291.380,291.533,291.397,291.341,99584.933,99538.222,99491.511,
2006-06-01 01:30:00,291.469,291.526,0.000,0.000,0.000,0.000,290.446,290.470,289.298,291.350,99200.000,291.600,291.474,291.401,291.552,291.418,291.362,99584.918,99538.210,99491.503,
2006-06-01 01:35:00,291.486,291.525,0.000,0.000,0.000,0.000,290.503,290.526,289.412,291.350,99200.000,291.617,291.491,291.419,291.569,291.436,291.380,99584.905,99538.200,99491.496,
2006-06-01 01:40:00,291.499,291.525,0.000,0.000,0.000,0.000,290.553,290.575,289.525,291.350,99200.000,291.628,291.505,291.433,291.580,291.450,291.394,99584.895,99538.192,99491.490,
