cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,Floor[1]_OAT_K,Floor[2]_OAT_K,Floor[3]_OAT_K,TempProf_cur[2.62],TempProf_cur[6.58],TempProf_cur[10.54],PresProf_cur[2.62],PresProf_cur[6.58],PresProf_cur[10.54],
2006-06-01 00:05:00,298.497,291.486,0.000,285.646,285.738,282.563,291.258,99200.000,298.470,298.484,298.509,298.473,298.499,298.549,99574.764,99529.157,99483.570,
2006-06-01 00:10:00,296.372,291.491,0.000,285.950,286.039,282.925,291.267,99200.000,296.568,296.460,296.289,296.543,296.357,296.017,99575.662,99529.743,99483.799,
2006-06-01 00:15:00,293.707,291.491,0.000,286.287,286.371,283.746,291.275,99200.000,294.234,293.937,293.444,294.171,293.626,292.864,99576.778,99530.463,99484.057,
2006-06-01 00:20:00,291.237,291.497,0.000,286.648,286.727,284.544,291.283,99200.000,291.934,291.468,290.864,291.820,291.062,290.318,99577.795,99531.088,99484.270,
2006-06-01 00:25:00,289.521,291.499,0.000,287.027,287.102,285.522,291.292,99200.000,290.101,289.675,289.208,289.986,289.352,288.834,99578.495,99531.500,99484.423,
2006-06-01 00:30:00,288.707,291.504,0.000,287.420,287.490,286.363,291.300,99200.000,289.163,288.792,288.461,289.047,288.556,288.228,99578.855,99531.716,99484.525,
2006-06-01 00:35:00,288.499,291.507,0.000,287.823,287.889,287.180,291.308,99200.000,288.849,288.542,288.312,288.745,288.373,288.173,99578.986,99531.806,99484.596,
2006-06-01 00:40:00,288.695,291.513,0.000,288.236,288.297,287.921,291.317,99200.000,288.966,288.709,288.552,288.870,288.590,288.472,99578.963,99531.810,99484.643,
2006-06-01 00:45:00,289.054,291.517,0.000,288.659,288.707,288.591,291.325,99200.000,289.264,289.055,288.944,289.181,288.969,288.897,99578.877,99531.782,99484.680,
2006-06-01 00:50:00,289.491,291.522,0.000,289.084,289.127,289.226,291.333,99200.000,289.660,289.484,289.403,289.587,289.420,289.375,99578.762,99531.736,99484.711,
2006-06-01 00:55:00,289.949,291.526,0.000,289.513,289.552,289.802,291.342,99200.000,290.084,289.940,289.881,290.021,289.892,289.865,99578.637,99531.685,99484.737,
2006-06-01 01:00:00,290.400,291.532,0.000,289.767,289.802,290.072,291.350,99200.000,290.511,290.389,290.345,290.456,290.352,290.336,99578.512,99531.633,99484.761,
2006-06-01 01:05:00,290.613,291.530,0.000,289.953,289.985,290.262,291.350,99200.000,290.725,290.609,290.556,290.675,290.567,290.535,99578.483,99531.638,99484.800,
2006-06-01 01:10:00,290.793,291.530,0.000,290.096,290.126,290.441,291.350,99200.000,290.898,290.790,290.740,290.852,290.750,290.719,99578.461,99531.646,99484.837,
2006-06-01 01:15:00,290.930,291.528,0.000,290.210,290.239,290.545,291.350,99200.000,291.028,290.928,290.881,290.985,290.891,290.860,99578.455,99531.662,99484.875,
2006-06-01 01:20:00,291.008,291.528,0.000,290.303,290.330,290.643,291.350,99200.000,291.104,291.007,290.959,291.063,290.970,290.937,99578.470,99531.690,99484.916,
2006-06-01 01:25:00,291.086,291.527,0.000,290.381,290.406,290.706,291.350,99200.000,291.175,291.085,291.040,291.137,291.051,291.020,99578.483,99531.716,99484.955,
2006-06-01 01:30:00,291.125,291.526,0.000,290.446,290.470,290.766,291.350,99200.000,291.213,291.125,291.081,291.176,291.091,291.058,99578.511,99531.750,99484.996,
2006-06-01 01:35:00,291.171,291.525,0.000,290.503,290.526,290.808,291.350,99200.000,291.253,291.171,291.129,291.218,291.139,291.109,99578.535,99531.781,99485.035,
2006-06-01 01:40:00,291.194,291.525,0.000,290.553,290.575,290.848,291.350,99200.000,291.274,291.194,291.153,291.240,291.162,291.132,99578.568,99531.817,99485.075,
2006-06-01 01:45:00,291.223,291.523,0.000,290.598,290.618,290.879,291.350,99200.000,291.299,291.223,291.184,291.267,291.193,291.164,99578.596,99531.851,99485.113,
2006-06-01 01:50:00,291.239,291.523,0.000,290.638,290.657,290.910,291.350,99200.000,291.313,291.239,291.201,291.282,291.210,291.181,99578.630,99531.887,99485.152,
2006-06-01 01:55:00,291.259,291.522,0.000,290.674,290.693,290.934,291.350,99200.000,291.330,291.259,291.222,291.300,291.231,291.204,99578.661,99531.921,99485.189,
2006-06-01 02:00:00,291.271,291.521,0.000,290.702,290.721,290.951,291.350,99200.000,291.340,291.271,291.236,291.311,291.244,291.217,99578.694,99531.956,99485.227,
2006-06-01 02:05:00,291.277,291.527,0.000,290.727,290.744,290.964,291.358,99208.333,291.344,291.278,291.243,291.316,291.251,291.225,99578.729,99531.992,99485.264,
2006-06-01 02:10:00,291.282,291.532,0.000,290.748,290.765,290.976,291.367,99216.667,291.348,291.283,291.249,291.321,291.257,291.232,99578.764,99532.028,99485.301,
2006-06-01 02:15:00,291.286,291.538,0.000,290.767,290.783,290.986,291.375,99225.000,291.350,291.287,291.254,291.323,291.262,291.237,99578.799,99532.064,99485.337,
2006-06-01 02:20:00,291.289,291.543,0.000,290.784,290.799,290.995,291.383,99233.333,291.350,291.289,291.257,291.325,291.265,291.240,99578.834,99532.099,99485.373,
2006-06-01 02:25:00,291.290,291.549,0.000,290.799,290.813,291.003,291.392,99241.667,291.351,291.291,291.260,291.326,291.267,291.243,99578.869,99532.134,99485.409,
2006-06-01 02:30:00,291.291,291.555,0.000,290.812,290.826,291.010,291.400,99250.000,291.350,291.292,291.261,291.326,291.269,291.245,99578.904,99532.169,99485.444,
2006-06-01 02:35:00,291.292,291.560,0.000,290.825,290.837,291.016,291.408,99258.333,291.349,291.293,291.263,291.326,291.270,291.247,99578.938,99532.203,99485.478,
2006-06-01 02:40:00,291.292,291.566,0.000,290.836,290.848,291.022,291.417,99266.667,291.348,291.293,291.264,291.325,291.271,291.249,99578.972,99532.238,99485.513,
2006-06-01 02:45:00,291.293,291.572,0.000,290.846,290.858,291.028,291.425,99275.000,291.347,291.293,291.265,291.324,291.272,291.250,99579.006,99532.272,99485.547,
2006-06-01 02:50:00,291.293,291.578,0.000,290.856,290.867,291.033,291.433,99283.333,291.346,291.293,291.265,291.324,291.272,291.251,99579.040,99532.305,99485.581,
2006-06-01 02:55:00,291.292,291.583,0.000,290.865,290.875,291.037,291.442,99291.667,291.344,291.293,291.266,291.323,291.272,291.251,99579.073,99532.338,99485.614,
2006-06-01 03:00:00,291.292,291.589,0.000,290.877,290.887,291.049,291.450,99300.000,291.343,291.293,291.266,291.322,291.272,291.252,99579.106,99532.371,99485.647,
2006-06-01 03:05:00,291.302,291.544,0.000,290.891,290.901,291.062,291.408,99308.333,291.351,291.302,291.276,291.330,291.283,291.263,99579.137,99532.403,99485.681,
2006-06-01 03:10:00,291.306,291.498,0.000,290.906,290.915,291.074,291.367,99316.667,291.354,291.306,291.281,291.334,291.287,291.268,99579.169,99532.436,99485.714,
2006-06-01 03:15:00,291.316,291.453,0.000,290.921,290.930,291.086,291.325,99325.000,291.363,291.316,291.292,291.343,291.298,291.279,99579.199,99532.468,99485.748,
2006-06-01 03:20:00,291.322,291.408,0.000,290.936,290.945,291.098,291.283,99333.333,291.368,291.322,291.298,291.349,291.304,291.286,99579.231,99532.501,99485.782,
2006-06-01 03:25:00,291.332,291.362,0.000,290.952,290.960,291.110,291.242,99341.667,291.377,291.332,291.309,291.358,291.314,291.297,99579.261,99532.533,99485.815,
2006-06-01 03:30:00,291.339,291.317,0.000,290.967,290.975,291.121,291.200,99350.000,291.383,291.339,291.316,291.365,291.322,291.304,99579.293,99532.565,99485.849,
2006-06-01 03:35:00,291.349,291.271,0.000,290.982,290.990,291.133,291.158,99358.333,291.392,291.349,291.327,291.374,291.332,291.315,99579.323,99532.597,99485.882,
2006-06-01 03:40:00,291.356,291.226,0.000,290.997,291.005,291.144,291.117,99366.667,291.399,291.356,291.334,291.381,291.339,291.322,99579.354,99532.629,99485.915,
2006-06-01 03:45:00,291.366,291.180,0.000,291.012,291.020,291.155,291.075,99375.000,291.408,291.366,291.344,291.390,291.350,291.333,99579.384,99532.660,99485.949,
