nmbe for Rural_Weather, case name is ByPass_BUBBLE_UE1_WithShading_WithoutCooling.csv, height is 21.5, performance is 3.33
cvrmse for Rural_Weather, case name is ByPass_BUBBLE_UE1_WithShading_WithoutCooling.csv, height is 25.5, performance is 8.87
nmbe for Rural_Weather, case name is ByPass_BUBBLE_UE1_WithShading_WithoutCooling.csv, height is 25.5, performance is 2.56
cvrmse for Rural_Weather, case name is ByPass_BUBBLE_UE1_WithShading_WithoutCooling.csv, height is 31.2, performance is 8.82
nmbe for Rural_Weather, case name is ByPass_BUBBLE_UE1_WithShading_WithoutCooling.csv, height is 31.2, performance is 1.94
cvrmse, case name is ByPass_BUBBLE_UE1_WithShading_WithoutCooling.csv, height is 2.6, performance is 7.51
nmbe, case name is ByPass_BUBBLE_UE1_WithShading_WithoutCooling.csv, height is 2.6, performance is 0.66
cvrmse, case name is OnlyVCWG_BUBBLE_UE1_WithShading_WithoutCooling.csv, height is 2.6, performance is 7.41
nmbe, case name is OnlyVCWG_BUBBLE_UE1_WithShading_WithoutCooling.csv, height is 2.6, performance is 0.4
cvrmse, case name is ByPass_BUBBLE_UE1_WithShading_WithoutCooling.csv, height is 13.9, performance is 8.4
nmbe, case name is ByPass_BUBBLE_UE1_WithShading_WithoutCooling.csv, height is 13.9, performance is 2.05
cvrmse, case name is OnlyVCWG_BUBBLE_UE1_WithShading_WithoutCooling.csv, height is 13.9, performance is 8.25
nmbe, case name is OnlyVCWG_BUBBLE_UE1_WithShading_WithoutCooling.csv, height is 13.9, performance is 1.61
cvrmse, case name is ByPass_BUBBLE_UE1_WithShading_WithoutCooling.csv, height is 17.5, performance is 9.2
nmbe, case name is ByPass_BUBBLE_UE1_WithShading_WithoutCooling.csv, height is 17.5, performance is 1.66
cvrmse, case name is OnlyVCWG_BUBBLE_UE1_WithShading_WithoutCooling.csv, height is 17.5, performance is 9.11
nmbe, case name is OnlyVCWG_BUBBLE_UE1_WithShading_WithoutCooling.csv, height is 17.5, performance is 1.22
cvrmse, case name is ByPass_BUBBLE_UE1_WithShading_WithoutCooling.csv, height is 21.5, performance is 9.65
nmbe, case name is ByPass_BUBBLE_UE1_WithShading_WithoutCooling.csv, height is 21.5, performance is 1.66
cvrmse, case name is OnlyVCWG_BUBBLE_UE1_WithShading_WithoutCooling.csv, height is 21.5, performance is 9.59
nmbe, case name is OnlyVCWG_BUBBLE_UE1_WithShading_WithoutCooling.csv, height is 21.5, performance is 1.31
cvrmse, case name is ByPass_BUBBLE_UE1_WithShading_WithoutCooling.csv, height is 25.5, performance is 10.02
nmbe, case name is ByPass_BUBBLE_UE1_WithShading_WithoutCooling.csv, height is 25.5, performance is 1.49
cvrmse, case name is OnlyVCWG_BUBBLE_UE1_WithShading_WithoutCooling.csv, height is 25.5, performance is 9.99
nmbe, case name is OnlyVCWG_BUBBLE_UE1_WithShading_WithoutCooling.csv, height is 25.5, performance is 1.21
cvrmse, case name is ByPass_BUBBLE_UE1_WithShading_WithoutCooling.csv, height is 31.2, performance is 10.71
nmbe, case name is ByPass_BUBBLE_UE1_WithShading_WithoutCooling.csv, height is 31.2, performance is 1.64
cvrmse, case name is OnlyVCWG_BUBBLE_UE1_WithShading_WithoutCooling.csv, height is 31.2, performance is 10.7
nmbe, case name is OnlyVCWG_BUBBLE_UE1_WithShading_WithoutCooling.csv, height is 31.2, performance is 1.45
cvrmse for Rural_Weather, case name is ByPass_Vancouver_TopForcing_WithoutShading_WithCooling.csv, height is 1.2, performance is 11.37
nmbe for Rural_Weather, case name is ByPass_Vancouver_TopForcing_WithoutShading_WithCooling.csv, height is 1.2, performance is 4.43
cvrmse for Rural_Weather, case name is ByPass_Vancouver_TopForcing_WithoutShading_WithCooling.csv, height is 20.0, performance is 6.76
nmbe for Rural_Weather, case name is ByPass_Vancouver_TopForcing_WithoutShading_WithCooling.csv, height is 20.0, performance is -0.71
cvrmse, case name is ByPass_Vancouver_TopForcing_WithoutShading_WithCooling.csv, height is 1.2, performance is 9.76
nmbe, case name is ByPass_Vancouver_TopForcing_WithoutShading_WithCooling.csv, height is 1.2, performance is 1.27
cvrmse, case name is OnlyVCWG_Vancouver_TopForcing_WithoutShading_WithCooling.csv, height is 1.2, performance is 9.59
nmbe, case name is OnlyVCWG_Vancouver_TopForcing_WithoutShading_WithCooling.csv, height is 1.2, performance is 1.36
cvrmse, case name is ByPass_Vancouver_TopForcing_WithoutShading_WithCooling.csv, height is 20.0, performance is 7.23
nmbe, case name is ByPass_Vancouver_TopForcing_WithoutShading_WithCooling.csv, height is 20.0, performance is 0.22
cvrmse, case name is OnlyVCWG_Vancouver_TopForcing_WithoutShading_WithCooling.csv, height is 20.0, performance is 7.23
nmbe, case name is OnlyVCWG_Vancouver_TopForcing_WithoutShading_WithCooling.csv, height is 20.0, performance is 0.22
cvrmse for Rural_Weather, case name is ByPass_Vancouver_TopForcing_WithShading_WithCooling.csv, height is 1.2, performance is 11.37
nmbe for Rural_Weather, case name is ByPass_Vancouver_TopForcing_WithShading_WithCooling.csv, height is 1.2, performance is 4.43
cvrmse for Rural_Weather, case name is ByPass_Vancouver_TopForcing_WithShading_WithCooling.csv, height is 20.0, performance is 6.76
nmbe for Rural_Weather, case name is ByPass_Vancouver_TopForcing_WithShading_WithCooling.csv, height is 20.0, performance is -0.71
cvrmse, case name is ByPass_Vancouver_TopForcing_WithShading_WithCooling.csv, height is 1.2, performance is 9.75
nmbe, case name is ByPass_Vancouver_TopForcing_WithShading_WithCooling.csv, height is 1.2, performance is 1.23
cvrmse, case name is OnlyVCWG_Vancouver_TopForcing_WithShading_WithCooling.csv, height is 1.2, performance is 9.59
nmbe, case name is OnlyVCWG_Vancouver_TopForcing_WithShading_WithCooling.csv, height is 1.2, performance is 1.36
cvrmse, case name is ByPass_Vancouver_TopForcing_WithShading_WithCooling.csv, height is 20.0, performance is 7.23
nmbe, case name is ByPass_Vancouver_TopForcing_WithShading_WithCooling.csv, height is 20.0, performance is 0.22
cvrmse, case name is OnlyVCWG_Vancouver_TopForcing_WithShading_WithCooling.csv, height is 20.0, performance is 7.23
nmbe, case name is OnlyVCWG_Vancouver_TopForcing_WithShading_WithCooling.csv, height is 20.0, performance is 0.22
cvrmse for Rural_Weather, case name is ByPass_CAPITOUL_WithoutShading_WithoutCooling.csv, height is 20, performance is 7.27
nmbe for Rural_Weather, case name is ByPass_CAPITOUL_WithoutShading_WithoutCooling.csv, height is 20, performance is 4.04
cvrmse, case name is ByPass_CAPITOUL_WithoutShading_WithoutCooling.csv, height is 20.0, performance is 5.04
nmbe, case name is ByPass_CAPITOUL_WithoutShading_WithoutCooling.csv, height is 20.0, performance is 1.52
cvrmse, case name is OnlyVCWG_CAPITOUL_WithoutShading_WithoutCooling.csv, height is 20.0, performance is 4.68
