cur_datetime,canTemp,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[2.6],TempProf_cur[13.9],TempProf_cur[17.5],TempProf_cur[21.5],TempProf_cur[25.5],TempProf_cur[31.2],PresProf_cur[2.6],PresProf_cur[13.9],PresProf_cur[17.5],PresProf_cur[21.5],PresProf_cur[25.5],PresProf_cur[31.2],
2002-06-10 00:00:00,294.918,0.000,300.000,300.000,300.000,286.950,97510.000,295.392,294.207,293.281,292.695,292.114,291.088,98047.909,97923.160,97877.636,97832.016,97786.323,97717.624,
2002-06-10 00:05:00,289.046,0.000,299.858,299.858,299.726,286.917,97510.833,289.578,288.410,287.957,287.762,287.616,287.421,98056.222,97928.706,97882.228,97835.718,97789.197,97719.404,
2002-06-10 00:10:00,287.815,0.000,299.520,299.520,299.367,286.883,97511.667,288.074,287.519,287.313,287.227,287.172,287.105,98057.279,97929.220,97882.620,97836.014,97789.413,97719.526,
2002-06-10 00:15:00,288.023,0.000,298.887,298.887,298.844,286.850,97512.500,288.351,287.651,287.381,287.266,287.193,287.108,98057.174,97929.202,97882.618,97836.020,97789.423,97719.539,
2002-06-10 00:20:00,288.419,0.000,298.331,298.331,298.358,286.817,97513.333,288.865,287.912,287.535,287.370,287.267,287.146,98056.921,97929.120,97882.569,97835.991,97789.409,97719.538,
2002-06-10 00:25:00,288.481,0.000,297.894,297.894,297.915,286.783,97514.167,288.920,287.975,287.577,287.398,287.285,287.149,98056.883,97929.111,97882.569,97835.997,97789.418,97719.550,
2002-06-10 00:30:00,288.421,0.000,297.570,297.570,297.515,286.750,97515.000,288.853,287.923,287.537,287.363,287.252,287.118,98056.959,97929.161,97882.610,97836.032,97789.448,97719.572,
2002-06-10 00:35:00,288.284,0.000,297.304,297.304,297.147,286.717,97515.833,288.688,287.820,287.461,287.300,287.196,287.070,98057.096,97929.238,97882.673,97836.084,97789.490,97719.601,
2002-06-10 00:40:00,288.210,0.000,297.077,297.077,296.808,286.683,97516.667,288.609,287.753,287.404,287.249,287.149,287.028,98057.193,97929.302,97882.727,97836.130,97789.528,97719.628,
2002-06-10 00:45:00,288.143,0.000,296.872,296.872,296.492,286.650,97517.500,288.531,287.699,287.358,287.205,287.107,286.989,98057.280,97929.360,97882.777,97836.172,97789.563,97719.654,
2002-06-10 00:50:00,288.107,0.000,296.689,296.689,296.200,286.617,97518.333,288.497,287.662,287.321,287.170,287.073,286.956,98057.346,97929.410,97882.821,97836.210,97789.595,97719.677,
2002-06-10 00:55:00,288.056,0.000,296.524,296.524,295.927,286.583,97519.167,288.439,287.618,287.282,287.133,287.037,286.921,98057.420,97929.461,97882.866,97836.249,97789.628,97719.702,
2002-06-10 01:00:00,288.016,0.000,296.374,296.374,295.672,286.550,97520.000,288.398,287.579,287.245,287.097,287.002,286.887,98057.489,97929.512,97882.910,97836.287,97789.661,97719.726,
2002-06-10 01:05:00,287.977,0.000,296.236,296.236,295.433,286.542,97522.500,288.353,287.549,287.221,287.076,286.983,286.871,98057.530,97929.536,97882.930,97836.304,97789.674,97719.735,
2002-06-10 01:10:00,287.958,0.000,296.107,296.107,295.208,286.533,97525.000,288.332,287.531,287.206,287.063,286.971,286.860,98057.555,97929.553,97882.944,97836.315,97789.684,97719.742,
2002-06-10 01:15:00,287.936,0.000,295.988,295.988,294.996,286.525,97527.500,288.305,287.514,287.192,287.051,286.960,286.850,98057.581,97929.569,97882.958,97836.327,97789.693,97719.749,
2002-06-10 01:20:00,287.919,0.000,295.876,295.876,294.797,286.517,97530.000,288.288,287.499,287.179,287.038,286.948,286.839,98057.604,97929.585,97882.971,97836.338,97789.703,97719.756,
2002-06-10 01:25:00,287.896,0.000,295.772,295.772,294.608,286.508,97532.500,288.261,287.480,287.163,287.025,286.936,286.828,98057.632,97929.602,97882.986,97836.350,97789.713,97719.763,
2002-06-10 01:30:00,287.879,0.000,295.673,295.673,294.429,286.500,97535.000,288.243,287.464,287.149,287.012,286.924,286.818,98057.656,97929.618,97883.000,97836.362,97789.723,97719.770,
2002-06-10 01:35:00,287.858,0.000,295.580,295.580,294.259,286.492,97537.500,288.218,287.446,287.134,286.999,286.912,286.807,98057.682,97929.635,97883.014,97836.374,97789.732,97719.777,
2002-06-10 01:40:00,287.842,0.000,295.491,295.491,294.097,286.483,97540.000,288.201,287.432,287.121,286.987,286.901,286.796,98057.705,97929.651,97883.027,97836.385,97789.742,97719.783,
2002-06-10 01:45:00,287.822,0.000,295.406,295.406,293.941,286.475,97542.500,288.179,287.415,287.107,286.975,286.889,286.786,98057.729,97929.667,97883.041,97836.397,97789.751,97719.790,
2002-06-10 01:50:00,287.807,0.000,295.324,295.324,293.792,286.467,97545.000,288.163,287.401,287.095,286.963,286.878,286.776,98057.751,97929.682,97883.054,97836.408,97789.761,97719.797,
2002-06-10 01:55:00,287.789,0.000,295.246,295.246,293.649,286.458,97547.500,288.142,287.386,287.081,286.951,286.867,286.765,98057.775,97929.698,97883.067,97836.419,97789.770,97719.804,
2002-06-10 02:00:00,287.774,0.000,295.171,295.171,293.511,286.450,97550.000,288.127,287.372,287.069,286.939,286.856,286.756,98057.796,97929.713,97883.080,97836.430,97789.779,97719.810,
2002-06-10 02:05:00,287.752,0.000,295.098,295.098,293.378,286.433,97552.500,288.103,287.352,287.050,286.922,286.839,286.738,98057.832,97929.739,97883.103,97836.449,97789.796,97719.823,
2002-06-10 02:10:00,287.732,0.000,295.028,295.028,293.248,286.417,97555.000,288.082,287.331,287.030,286.902,286.820,286.720,98057.868,97929.766,97883.126,97836.470,97789.813,97719.836,
2002-06-10 02:15:00,287.704,0.000,294.959,294.959,293.122,286.400,97557.500,288.052,287.308,287.009,286.882,286.800,286.701,98057.908,97929.794,97883.151,97836.491,97789.831,97719.849,
2002-06-10 02:20:00,287.680,0.000,294.891,294.891,292.998,286.383,97560.000,288.026,287.285,286.989,286.863,286.781,286.683,98057.946,97929.821,97883.175,97836.512,97789.849,97719.862,
2002-06-10 02:25:00,287.652,0.000,294.824,294.824,292.877,286.367,97562.500,287.994,287.262,286.968,286.843,286.762,286.665,98057.986,97929.849,97883.199,97836.532,97789.866,97719.875,
2002-06-10 02:30:00,287.627,0.000,294.759,294.759,292.758,286.350,97565.000,287.968,287.239,286.947,286.823,286.743,286.647,98058.025,97929.876,97883.222,97836.553,97789.884,97719.888,
2002-06-10 02:35:00,287.600,0.000,294.694,294.694,292.640,286.333,97567.500,287.936,287.216,286.926,286.804,286.724,286.628,98058.064,97929.904,97883.246,97836.574,97789.901,97719.901,
2002-06-10 02:40:00,287.574,0.000,294.630,294.630,292.525,286.317,97570.000,287.909,287.193,286.906,286.784,286.705,286.610,98058.103,97929.931,97883.270,97836.594,97789.919,97719.913,
2002-06-10 02:45:00,287.547,0.000,294.567,294.567,292.411,286.300,97572.500,287.878,287.169,286.885,286.765,286.686,286.592,98058.143,97929.959,97883.294,97836.615,97789.936,97719.926,
2002-06-10 02:50:00,287.521,0.000,294.505,294.505,292.300,286.283,97575.000,287.850,287.147,286.865,286.745,286.668,286.573,98058.181,97929.986,97883.318,97836.635,97789.953,97719.939,
2002-06-10 02:55:00,287.494,0.000,294.444,294.444,292.190,286.267,97577.500,287.819,287.123,286.844,286.726,286.649,286.555,98058.221,97930.013,97883.342,97836.656,97789.971,97719.952,
2002-06-10 03:00:00,287.468,0.000,294.384,294.384,292.082,286.250,97580.000,287.792,287.101,286.824,286.706,286.630,286.537,98058.259,97930.040,97883.366,97836.676,97789.988,97719.965,
2002-06-10 03:05:00,287.436,0.000,294.325,294.325,291.975,286.217,97582.500,287.757,287.072,286.797,286.680,286.604,286.512,98058.312,97930.078,97883.399,97836.706,97790.013,97719.984,
2002-06-10 03:10:00,287.401,0.000,294.265,294.265,291.869,286.183,97585.000,287.719,287.039,286.767,286.651,286.576,286.484,98058.369,97930.120,97883.435,97836.737,97790.040,97720.003,
2002-06-10 03:15:00,287.365,0.000,294.207,294.207,291.762,286.150,97587.500,287.681,287.006,286.737,286.622,286.547,286.456,98058.426,97930.161,97883.472,97836.769,97790.067,97720.023,
2002-06-10 03:20:00,287.332,0.000,294.147,294.147,291.656,286.117,97590.000,287.646,286.975,286.707,286.593,286.519,286.428,98058.483,97930.203,97883.508,97836.800,97790.094,97720.043,
2002-06-10 03:25:00,287.299,0.000,294.088,294.088,291.551,286.083,97592.500,287.612,286.944,286.677,286.564,286.490,286.401,98058.538,97930.244,97883.544,97836.832,97790.120,97720.063,
2002-06-10 03:30:00,287.267,0.000,294.030,294.030,291.446,286.050,97595.000,287.579,286.914,286.648,286.536,286.462,286.373,98058.593,97930.285,97883.580,97836.863,97790.147,97720.083,
2002-06-10 03:35:00,287.235,0.000,293.972,293.972,291.342,286.017,97597.500,287.545,286.883,286.619,286.507,286.434,286.345,98058.649,97930.326,97883.616,97836.894,97790.174,97720.103,
2002-06-10 03:40:00,287.203,0.000,293.914,293.914,291.238,285.983,97600.000,287.512,286.852,286.590,286.479,286.406,286.318,98058.704,97930.367,97883.652,97836.926,97790.201,97720.123,
2002-06-10 03:45:00,287.170,0.000,293.857,293.857,291.135,285.950,97602.500,287.477,286.821,286.560,286.450,286.378,286.290,98058.760,97930.408,97883.689,97836.957,97790.227,97720.143,
2002-06-10 03:50:00,287.138,0.000,293.800,293.800,291.033,285.917,97605.000,287.444,286.791,286.531,286.421,286.350,286.262,98058.816,97930.449,97883.725,97836.989,97790.254,97720.163,
2002-06-10 03:55:00,287.105,0.000,293.743,293.743,290.931,285.883,97607.500,287.409,286.760,286.501,286.393,286.321,286.234,98058.872,97930.491,97883.762,97837.021,97790.281,97720.183,
2002-06-10 04:00:00,287.073,0.000,293.687,293.687,290.831,285.850,97610.000,287.376,286.729,286.472,286.364,286.293,286.207,98058.928,97930.532,97883.798,97837.052,97790.308,97720.203,
2002-06-10 04:05:00,287.040,0.000,293.632,293.632,290.730,285.825,97615.833,287.342,286.698,286.443,286.335,286.265,286.179,98058.983,97930.573,97883.834,97837.084,97790.335,97720.223,
2002-06-10 04:10:00,287.011,0.000,293.577,293.577,290.632,285.800,97621.667,287.312,286.670,286.415,286.308,286.238,286.152,98059.036,97930.612,97883.869,97837.114,97790.361,97720.243,
2002-06-10 04:15:00,286.977,0.000,293.523,293.523,290.536,285.775,97627.500,287.276,286.640,286.387,286.281,286.211,286.126,98059.091,97930.652,97883.904,97837.145,97790.387,97720.262,
2002-06-10 04:20:00,286.941,0.000,293.469,293.469,290.440,285.750,97633.333,287.237,286.606,286.355,286.249,286.180,286.095,98059.153,97930.699,97883.945,97837.180,97790.418,97720.285,
2002-06-10 04:25:00,286.904,0.000,293.428,293.417,290.359,285.725,97639.167,287.198,286.572,286.324,286.219,286.150,286.065,98059.213,97930.742,97883.983,97837.213,97790.446,97720.306,
2002-06-10 04:30:00,286.868,0.000,293.382,293.366,290.282,285.700,97645.000,287.159,286.539,286.293,286.189,286.120,286.037,98059.273,97930.785,97884.021,97837.246,97790.474,97720.327,
2002-06-10 04:35:00,286.831,0.000,293.333,293.315,290.207,285.675,97650.833,287.120,286.506,286.262,286.159,286.091,286.008,98059.332,97930.828,97884.059,97837.279,97790.502,97720.348,
2002-06-10 04:40:00,286.795,0.000,293.279,293.263,290.135,285.650,97656.667,287.080,286.472,286.231,286.129,286.061,285.978,98059.392,97930.872,97884.097,97837.313,97790.531,97720.369,
2002-06-10 04:45:00,286.758,0.000,293.227,293.212,290.066,285.625,97662.500,287.041,286.438,286.200,286.098,286.031,285.949,98059.453,97930.916,97884.136,97837.346,97790.559,97720.390,
2002-06-10 04:50:00,286.721,0.000,293.180,293.161,289.999,285.600,97668.333,287.001,286.405,286.168,286.068,286.001,285.920,98059.513,97930.960,97884.175,97837.380,97790.588,97720.412,
2002-06-10 04:55:00,286.684,0.000,293.136,293.110,289.935,285.575,97674.167,286.961,286.371,286.137,286.037,285.971,285.890,98059.574,97931.004,97884.214,97837.414,97790.617,97720.433,
2002-06-10 05:00:00,286.647,0.000,293.096,293.059,289.872,285.550,97680.000,286.922,286.337,286.106,286.007,285.941,285.860,98059.635,97931.049,97884.253,97837.448,97790.646,97720.455,
2002-06-10 05:05:00,286.616,0.000,293.057,293.009,289.812,285.558,97685.833,286.888,286.310,286.081,285.983,285.919,285.839,98059.681,97931.081,97884.281,97837.472,97790.666,97720.469,
2002-06-10 05:10:00,286.589,0.000,293.031,292.962,289.771,285.567,97691.667,286.858,286.287,286.060,285.963,285.899,285.820,98059.721,97931.109,97884.305,97837.493,97790.684,97720.483,
2002-06-10 05:15:00,286.566,0.000,293.017,292.919,289.749,285.575,97697.500,286.833,286.266,286.041,285.944,285.880,285.801,98059.759,97931.137,97884.330,97837.514,97790.702,97720.496,
2002-06-10 05:20:00,286.544,0.000,293.012,292.878,289.743,285.583,97703.333,286.810,286.246,286.022,285.926,285.862,285.783,98059.797,97931.164,97884.354,97837.536,97790.720,97720.510,
2002-06-10 05:25:00,286.523,0.000,293.017,292.841,289.753,285.592,97709.167,286.788,286.226,286.003,285.907,285.843,285.764,98059.834,97931.192,97884.379,97837.557,97790.739,97720.524,
2002-06-10 05:30:00,286.500,0.000,293.031,292.807,289.777,285.600,97715.000,286.764,286.204,285.981,285.885,285.821,285.742,98059.878,97931.226,97884.409,97837.583,97790.762,97720.541,
2002-06-10 05:35:00,286.945,0.000,293.052,292.775,289.813,285.608,97720.833,287.322,286.517,286.168,286.013,285.914,285.794,98059.575,97931.117,97884.341,97837.541,97790.737,97720.534,
2002-06-10 05:40:00,286.827,0.000,293.043,292.710,289.825,285.617,97726.667,287.131,286.494,286.210,286.058,285.952,285.817,98059.602,97931.094,97884.321,97837.528,97790.731,97720.536,
2002-06-10 05:45:00,286.973,0.000,293.108,292.712,289.851,285.625,97732.500,287.395,286.516,286.201,286.051,285.947,285.810,98059.560,97931.110,97884.336,97837.542,97790.744,97720.547,
