cur_datetime,canTemp,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[3.0],TempProf_cur[15.8],TempProf_cur[22.9],TempProf_cur[27.8],TempProf_cur[32.9],PresProf_cur[3.0],PresProf_cur[15.8],PresProf_cur[22.9],PresProf_cur[27.8],PresProf_cur[32.9],
2002-06-10 00:00:00,295.128,0.000,300.000,300.000,300.000,286.950,97510.000,295.712,293.495,292.497,291.753,290.876,98047.865,97900.460,97820.622,97763.459,97706.160,
2002-06-10 00:05:00,289.375,0.000,299.869,299.869,299.726,286.917,97510.833,290.158,288.064,287.702,287.533,287.381,98056.103,97905.492,97824.097,97765.939,97707.773,
2002-06-10 00:10:00,288.047,0.000,299.550,299.550,299.364,286.883,97511.667,288.454,287.399,287.217,287.151,287.097,98057.176,97905.919,97824.361,97766.114,97707.879,
2002-06-10 00:15:00,288.302,0.000,298.938,298.938,298.837,286.850,97512.500,288.793,287.508,287.256,287.169,287.100,98057.044,97905.905,97824.366,97766.124,97707.891,
2002-06-10 00:20:00,288.773,0.000,298.395,298.395,298.348,286.817,97513.333,289.422,287.710,287.353,287.231,287.135,98056.757,97905.841,97824.341,97766.115,97707.892,
2002-06-10 00:25:00,288.818,0.000,297.968,297.968,297.901,286.783,97514.167,289.446,287.758,287.377,287.243,287.134,98056.726,97905.838,97824.348,97766.126,97707.904,
2002-06-10 00:30:00,288.760,0.000,297.656,297.656,297.499,286.750,97515.000,289.387,287.709,287.342,287.210,287.103,98056.803,97905.884,97824.383,97766.154,97707.925,
2002-06-10 00:35:00,288.599,0.000,297.399,297.399,297.127,286.717,97515.833,289.186,287.622,287.280,287.156,287.056,98056.950,97905.953,97824.432,97766.191,97707.952,
2002-06-10 00:40:00,288.525,0.000,297.180,297.180,296.783,286.683,97516.667,289.107,287.562,287.231,287.112,287.014,98057.047,97906.012,97824.475,97766.225,97707.977,
2002-06-10 00:45:00,288.446,0.000,296.980,296.980,296.463,286.650,97517.500,289.010,287.511,287.188,287.071,286.977,98057.139,97906.065,97824.515,97766.257,97708.001,
2002-06-10 00:50:00,288.412,0.000,296.802,296.802,296.167,286.617,97518.333,288.979,287.473,287.153,287.037,286.943,98057.205,97906.112,97824.552,97766.286,97708.024,
2002-06-10 00:55:00,288.354,0.000,296.641,296.641,295.891,286.583,97519.167,288.910,287.431,287.115,287.001,286.908,98057.282,97906.161,97824.590,97766.316,97708.047,
2002-06-10 01:00:00,288.314,0.000,296.494,296.494,295.633,286.550,97520.000,288.870,287.392,287.080,286.967,286.874,98057.351,97906.209,97824.626,97766.346,97708.069,
2002-06-10 01:05:00,288.270,0.000,296.358,296.358,295.391,286.542,97522.500,288.816,287.366,287.059,286.949,286.859,98057.395,97906.231,97824.642,97766.358,97708.078,
2002-06-10 01:10:00,288.249,0.000,296.232,296.232,295.163,286.533,97525.000,288.793,287.350,287.046,286.937,286.848,98057.421,97906.246,97824.653,97766.366,97708.084,
2002-06-10 01:15:00,288.224,0.000,296.115,296.115,294.949,286.525,97527.500,288.761,287.334,287.034,286.926,286.838,98057.448,97906.261,97824.665,97766.375,97708.091,
2002-06-10 01:20:00,288.206,0.000,296.005,296.005,294.747,286.517,97530.000,288.742,287.318,287.022,286.915,286.827,98057.472,97906.276,97824.676,97766.384,97708.097,
2002-06-10 01:25:00,288.180,0.000,295.903,295.903,294.557,286.508,97532.500,288.711,287.301,287.008,286.902,286.816,98057.501,97906.292,97824.687,97766.393,97708.104,
2002-06-10 01:30:00,288.161,0.000,295.806,295.806,294.376,286.500,97535.000,288.690,287.285,286.996,286.891,286.806,98057.526,97906.307,97824.698,97766.402,97708.111,
2002-06-10 01:35:00,288.138,0.000,295.714,295.714,294.205,286.492,97537.500,288.662,287.269,286.983,286.879,286.795,98057.553,97906.323,97824.710,97766.411,97708.117,
2002-06-10 01:40:00,288.121,0.000,295.626,295.626,294.041,286.483,97540.000,288.644,287.254,286.971,286.868,286.785,98057.576,97906.337,97824.721,97766.419,97708.124,
2002-06-10 01:45:00,288.100,0.000,295.543,295.543,293.885,286.475,97542.500,288.619,287.239,286.958,286.857,286.774,98057.602,97906.352,97824.732,97766.428,97708.130,
2002-06-10 01:50:00,288.083,0.000,295.462,295.462,293.735,286.467,97545.000,288.602,287.225,286.947,286.846,286.764,98057.624,97906.367,97824.743,97766.436,97708.136,
2002-06-10 01:55:00,288.064,0.000,295.385,295.385,293.591,286.458,97547.500,288.579,287.210,286.935,286.835,286.754,98057.649,97906.381,97824.753,97766.445,97708.143,
2002-06-10 02:00:00,288.048,0.000,295.311,295.311,293.452,286.450,97550.000,288.562,287.197,286.923,286.824,286.744,98057.671,97906.395,97824.764,97766.453,97708.149,
2002-06-10 02:05:00,288.025,0.000,295.240,295.240,293.318,286.433,97552.500,288.536,287.177,286.905,286.807,286.727,98057.707,97906.419,97824.783,97766.468,97708.161,
2002-06-10 02:10:00,288.004,0.000,295.170,295.170,293.188,286.417,97555.000,288.515,287.156,286.886,286.788,286.709,98057.744,97906.445,97824.803,97766.484,97708.173,
2002-06-10 02:15:00,287.975,0.000,295.102,295.102,293.061,286.400,97557.500,288.482,287.134,286.866,286.769,286.690,98057.784,97906.471,97824.823,97766.501,97708.185,
2002-06-10 02:20:00,287.949,0.000,295.036,295.036,292.937,286.383,97560.000,288.453,287.112,286.847,286.750,286.672,98057.823,97906.497,97824.843,97766.517,97708.197,
2002-06-10 02:25:00,287.919,0.000,294.970,294.970,292.815,286.367,97562.500,288.418,287.091,286.827,286.732,286.653,98057.864,97906.523,97824.863,97766.533,97708.210,
2002-06-10 02:30:00,287.892,0.000,294.905,294.905,292.695,286.350,97565.000,288.389,287.069,286.808,286.713,286.635,98057.903,97906.548,97824.882,97766.548,97708.222,
2002-06-10 02:35:00,287.862,0.000,294.841,294.841,292.577,286.333,97567.500,288.354,287.047,286.788,286.694,286.617,98057.944,97906.574,97824.902,97766.564,97708.234,
2002-06-10 02:40:00,287.834,0.000,294.778,294.778,292.461,286.317,97570.000,288.323,287.026,286.769,286.676,286.599,98057.984,97906.599,97824.922,97766.580,97708.246,
2002-06-10 02:45:00,287.804,0.000,294.716,294.716,292.347,286.300,97572.500,288.288,287.004,286.750,286.657,286.581,98058.025,97906.625,97824.942,97766.596,97708.258,
2002-06-10 02:50:00,287.776,0.000,294.655,294.655,292.235,286.283,97575.000,288.257,286.982,286.730,286.638,286.563,98058.064,97906.650,97824.962,97766.612,97708.270,
2002-06-10 02:55:00,287.747,0.000,294.594,294.594,292.124,286.267,97577.500,288.223,286.961,286.711,286.619,286.544,98058.105,97906.676,97824.982,97766.628,97708.283,
2002-06-10 03:00:00,287.719,0.000,294.535,294.535,292.015,286.250,97580.000,288.191,286.939,286.692,286.601,286.526,98058.145,97906.702,97825.001,97766.644,97708.295,
2002-06-10 03:05:00,287.685,0.000,294.476,294.476,291.908,286.217,97582.500,288.153,286.912,286.666,286.575,286.501,98058.198,97906.737,97825.029,97766.667,97708.313,
2002-06-10 03:10:00,287.647,0.000,294.418,294.418,291.800,286.183,97585.000,288.112,286.880,286.637,286.547,286.473,98058.256,97906.776,97825.060,97766.691,97708.331,
2002-06-10 03:15:00,287.610,0.000,294.359,294.359,291.693,286.150,97587.500,288.072,286.848,286.607,286.519,286.445,98058.314,97906.815,97825.090,97766.716,97708.350,
2002-06-10 03:20:00,287.574,0.000,294.300,294.300,291.587,286.117,97590.000,288.034,286.818,286.579,286.490,286.418,98058.372,97906.854,97825.121,97766.740,97708.369,
2002-06-10 03:25:00,287.541,0.000,294.242,294.242,291.480,286.083,97592.500,287.998,286.787,286.550,286.462,286.390,98058.428,97906.893,97825.151,97766.765,97708.387,
2002-06-10 03:30:00,287.507,0.000,294.184,294.184,291.375,286.050,97595.000,287.963,286.757,286.522,286.434,286.363,98058.484,97906.931,97825.181,97766.789,97708.406,
2002-06-10 03:35:00,287.474,0.000,294.127,294.127,291.270,286.017,97597.500,287.927,286.727,286.493,286.406,286.335,98058.540,97906.970,97825.211,97766.814,97708.425,
2002-06-10 03:40:00,287.440,0.000,294.069,294.069,291.166,285.983,97600.000,287.892,286.697,286.465,286.378,286.307,98058.596,97907.008,97825.241,97766.838,97708.444,
2002-06-10 03:45:00,287.406,0.000,294.013,294.013,291.062,285.950,97602.500,287.856,286.667,286.436,286.350,286.280,98058.652,97907.047,97825.272,97766.863,97708.463,
2002-06-10 03:50:00,287.373,0.000,293.957,293.957,290.960,285.917,97605.000,287.821,286.637,286.407,286.322,286.252,98058.708,97907.086,97825.302,97766.887,97708.482,
2002-06-10 03:55:00,287.339,0.000,293.901,293.901,290.858,285.883,97607.500,287.785,286.607,286.378,286.294,286.224,98058.765,97907.125,97825.333,97766.912,97708.501,
2002-06-10 04:00:00,287.306,0.000,293.845,293.845,290.756,285.850,97610.000,287.750,286.576,286.350,286.266,286.196,98058.821,97907.164,97825.364,97766.937,97708.520,
2002-06-10 04:05:00,287.272,0.000,293.790,293.790,290.656,285.825,97615.833,287.714,286.546,286.321,286.238,286.169,98058.877,97907.202,97825.394,97766.961,97708.538,
2002-06-10 04:10:00,287.242,0.000,293.736,293.736,290.557,285.800,97621.667,287.682,286.518,286.294,286.211,286.142,98058.931,97907.240,97825.423,97766.985,97708.557,
2002-06-10 04:15:00,287.207,0.000,293.683,293.683,290.460,285.775,97627.500,287.643,286.489,286.267,286.184,286.116,98058.986,97907.277,97825.452,97767.009,97708.575,
2002-06-10 04:20:00,287.168,0.000,293.630,293.630,290.364,285.750,97633.333,287.602,286.456,286.235,286.153,286.085,98059.050,97907.321,97825.487,97767.037,97708.597,
2002-06-10 04:25:00,287.128,0.000,293.605,293.578,290.283,285.725,97639.167,287.558,286.424,286.205,286.123,286.055,98059.111,97907.362,97825.519,97767.063,97708.617,
2002-06-10 04:30:00,287.091,0.000,293.579,293.527,290.205,285.700,97645.000,287.516,286.393,286.175,286.094,286.027,98059.171,97907.402,97825.550,97767.088,97708.636,
