cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[2.6],TempProf_cur[13.9],TempProf_cur[17.5],TempProf_cur[21.5],TempProf_cur[25.5],TempProf_cur[31.2],PresProf_cur[2.6],PresProf_cur[13.9],PresProf_cur[17.5],PresProf_cur[21.5],PresProf_cur[25.5],PresProf_cur[31.2],
2002-06-10 00:05:00,288.819,286.997,0.000,287.834,286.713,284.267,286.917,97510.833,289.342,288.227,287.854,287.691,287.564,287.388,98056.394,97928.772,97882.272,97835.748,97789.217,97719.414,
2002-06-10 00:10:00,287.759,286.966,0.000,287.718,286.637,284.395,286.883,97511.667,288.112,287.396,287.221,287.160,287.120,287.070,98057.380,97929.283,97882.665,97836.046,97789.435,97719.537,
2002-06-10 00:15:00,287.883,286.933,0.000,287.803,286.741,284.527,286.850,97512.500,288.334,287.427,287.213,287.141,287.097,287.043,98057.367,97929.317,97882.700,97836.079,97789.464,97719.560,
2002-06-10 00:20:00,288.210,286.901,0.000,287.933,286.886,284.675,286.817,97513.333,288.828,287.583,287.284,287.185,287.123,287.050,98057.207,97929.292,97882.692,97836.079,97789.470,97719.570,
2002-06-10 00:25:00,288.125,286.869,0.000,287.988,286.965,284.833,286.783,97514.167,288.661,287.568,287.276,287.174,287.109,287.032,98057.264,97929.319,97882.718,97836.104,97789.493,97719.589,
2002-06-10 00:30:00,288.190,286.837,0.000,288.066,287.066,285.004,286.750,97515.000,288.767,287.591,287.279,287.170,287.099,287.015,98057.259,97929.340,97882.741,97836.127,97789.514,97719.607,
2002-06-10 00:35:00,287.995,286.805,0.000,288.091,287.120,285.178,286.717,97515.833,288.487,287.483,287.210,287.113,287.049,286.972,98057.411,97929.411,97882.798,97836.174,97789.553,97719.634,
2002-06-10 00:40:00,288.019,286.774,0.000,288.150,287.206,285.360,286.683,97516.667,288.553,287.470,287.186,287.086,287.021,286.942,98057.446,97929.453,97882.837,97836.208,97789.583,97719.657,
2002-06-10 00:45:00,287.853,286.741,0.000,288.172,287.259,285.543,286.650,97517.500,288.316,287.374,287.120,287.030,286.970,286.897,98057.584,97929.523,97882.894,97836.256,97789.622,97719.684,
2002-06-10 00:50:00,287.905,286.710,0.000,288.231,287.345,285.734,286.617,97518.333,288.417,287.378,287.106,287.010,286.947,286.871,98057.601,97929.558,97882.928,97836.287,97789.650,97719.706,
2002-06-10 00:55:00,287.757,286.678,0.000,288.251,287.398,285.926,286.583,97519.167,288.204,287.294,287.047,286.959,286.901,286.830,98057.727,97929.623,97882.982,97836.332,97789.687,97719.733,
