Time,THERMAL ZONE 1:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:CHICAGO OHARE INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:CHICAGO OHARE INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:05:00,3.094845E+05,1.622796E+05,1.597217E+01,1.252056E+01
00:10:00,3.094829E+05,1.619876E+05,1.597209E+01,1.249803E+01
00:15:00,3.094814E+05,1.616884E+05,1.597201E+01,1.247494E+01
00:20:00,3.094798E+05,1.613830E+05,1.597193E+01,1.245138E+01
00:25:00,3.094783E+05,1.610720E+05,1.597185E+01,1.242738E+01
00:30:00,3.094768E+05,1.607561E+05,1.597177E+01,1.240300E+01
00:35:00,3.094753E+05,1.604357E+05,1.597170E+01,1.237828E+01
00:40:00,3.094738E+05,1.601117E+05,1.597162E+01,1.235328E+01
00:45:00,3.094723E+05,1.597845E+05,1.597154E+01,1.232803E+01
00:50:00,3.094708E+05,1.594545E+05,1.597146E+01,1.230257E+01
00:55:00,3.094693E+05,1.591220E+05,1.597139E+01,1.227691E+01
01:00:00,3.094678E+05,1.587874E+05,1.597131E+01,1.225109E+01
01:05:00,3.094680E+05,1.585770E+05,1.597132E+01,1.223486E+01
01:10:00,3.094681E+05,1.583690E+05,1.597132E+01,1.221880E+01
01:15:00,3.094682E+05,1.581630E+05,1.597133E+01,1.220290E+01
01:20:00,3.094684E+05,1.579589E+05,1.597134E+01,1.218716E+01
01:25:00,3.094685E+05,1.577571E+05,1.597134E+01,1.217158E+01
01:30:00,3.094686E+05,1.575577E+05,1.597135E+01,1.215619E+01
01:35:00,3.094687E+05,1.573609E+05,1.597136E+01,1.214101E+01
01:40:00,3.094689E+05,1.571669E+05,1.597136E+01,1.212604E+01
01:45:00,3.094690E+05,1.569757E+05,1.597137E+01,1.211128E+01
01:50:00,3.094691E+05,1.567881E+05,1.597138E+01,1.209681E+01
01:55:00,3.094692E+05,1.566037E+05,1.597138E+01,1.208258E+01
02:00:00,3.094694E+05,1.564227E+05,1.597139E+01,1.206861E+01
02:05:00,3.094695E+05,1.562444E+05,1.597140E+01,1.205485E+01
02:10:00,3.094696E+05,1.560672E+05,1.597140E+01,1.204119E+01
02:15:00,3.094697E+05,1.558912E+05,1.597141E+01,1.202760E+01
02:20:00,3.094699E+05,1.557163E+05,1.597142E+01,1.201411E+01
02:25:00,3.094700E+05,1.555426E+05,1.597142E+01,1.200071E+01
02:30:00,3.094701E+05,1.553701E+05,1.597143E+01,1.198740E+01
02:35:00,3.094702E+05,1.551989E+05,1.597143E+01,1.197419E+01
02:40:00,3.094703E+05,1.550289E+05,1.597144E+01,1.196107E+01
02:45:00,3.094705E+05,1.548601E+05,1.597145E+01,1.194805E+01
02:50:00,3.094706E+05,1.546924E+05,1.597145E+01,1.193511E+01
02:55:00,3.094707E+05,1.545266E+05,1.597146E+01,1.192232E+01
03:00:00,3.094708E+05,1.543625E+05,1.597146E+01,1.190966E+01
03:05:00,3.094709E+05,1.541966E+05,1.597147E+01,1.189686E+01
03:10:00,3.094710E+05,1.540301E+05,1.597148E+01,1.188401E+01
03:15:00,3.094711E+05,1.538629E+05,1.597148E+01,1.187111E+01
03:20:00,3.094713E+05,1.536947E+05,1.597149E+01,1.185814E+01
03:25:00,3.094714E+05,1.535255E+05,1.597149E+01,1.184508E+01
03:30:00,3.094715E+05,1.533550E+05,1.597150E+01,1.183193E+01
03:35:00,3.094716E+05,1.531832E+05,1.597150E+01,1.181867E+01
03:40:00,3.094717E+05,1.530100E+05,1.597151E+01,1.180530E+01
03:45:00,3.094718E+05,1.528351E+05,1.597152E+01,1.179181E+01
03:50:00,3.094719E+05,1.526585E+05,1.597152E+01,1.177818E+01
03:55:00,3.094720E+05,1.524798E+05,1.597153E+01,1.176440E+01
04:00:00,3.094721E+05,1.522993E+05,1.597153E+01,1.175047E+01
04:05:00,3.094722E+05,1.521187E+05,1.597154E+01,1.173654E+01
04:10:00,3.094723E+05,1.519388E+05,1.597154E+01,1.172265E+01
04:15:00,3.094724E+05,1.517599E+05,1.597155E+01,1.170885E+01
04:20:00,3.094726E+05,1.515823E+05,1.597155E+01,1.169515E+01
