cur_datetime,canTemp,ForcTemp_K,sensWaste,EP_floor_energy[0],EP_floor_energy[1],EP_floor_energy[2],EP_floor_energy[3],EP_floor_energy[4],EP_floor_energy[5],EP_floor_energy[6],EP_floor_energy[7],EP_floor_energy[8],EP_floor_energy[9],EP_floor_energy[10],EP_floor_energy[11],EP_floor_energy[12],EP_floor_energy[13],EP_floor_energy[14],EP_floor_energy[15],EP_floor_energy[16],EP_floor_energy[17],EP_floor_energy[18],EP_floor_energy[19],wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,Floor[1]_OAT_K,Floor[2]_OAT_K,Floor[3]_OAT_K,Floor[4]_OAT_K,Floor[5]_OAT_K,Floor[6]_OAT_K,Floor[7]_OAT_K,Floor[8]_OAT_K,Floor[9]_OAT_K,Floor[10]_OAT_K,Floor[11]_OAT_K,Floor[12]_OAT_K,Floor[13]_OAT_K,Floor[14]_OAT_K,Floor[15]_OAT_K,Floor[16]_OAT_K,Floor[17]_OAT_K,Floor[18]_OAT_K,Floor[19]_OAT_K,Floor[20]_OAT_K,TempProf_cur[3.048],TempProf_cur[6.096],TempProf_cur[9.144],TempProf_cur[12.192],TempProf_cur[15.24],TempProf_cur[18.288],TempProf_cur[21.336],TempProf_cur[24.384],TempProf_cur[27.432],TempProf_cur[30.48],TempProf_cur[33.528],TempProf_cur[36.576],TempProf_cur[39.624],TempProf_cur[42.672],TempProf_cur[45.72],TempProf_cur[48.768],TempProf_cur[51.816],TempProf_cur[54.864],TempProf_cur[57.912],TempProf_cur[60.96],TempProf_cur[64.008],TempProf_cur[67.056],TempProf_cur[70.104],TempProf_cur[73.152],TempProf_cur[76.2],TempProf_cur[79.248],TempProf_cur[82.296],TempProf_cur[85.344],TempProf_cur[88.392],TempProf_cur[91.44],TempProf_cur[94.488],TempProf_cur[97.536],TempProf_cur[100.584],TempProf_cur[103.632],TempProf_cur[106.68],TempProf_cur[109.728],TempProf_cur[112.776],TempProf_cur[115.824],TempProf_cur[118.872],TempProf_cur[121.92],TempProf_cur[124.968],TempProf_cur[128.016],TempProf_cur[131.064],TempProf_cur[134.112],TempProf_cur[137.16],TempProf_cur[140.208],TempProf_cur[143.256],TempProf_cur[146.304],TempProf_cur[149.352],
2004-06-01 00:00:00,298.876,291.611,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,291.139,290.303,283.461,291.250,99200.000,299.329,299.322,299.308,299.288,299.261,299.228,299.188,299.142,299.089,299.030,298.964,298.890,298.810,298.721,298.624,298.519,298.404,298.280,298.142,297.978,299.325,299.314,299.295,299.271,299.240,299.202,299.158,299.108,299.051,298.987,298.916,298.838,298.752,298.658,298.555,298.444,298.323,298.191,298.038,297.798,297.592,297.449,297.308,297.164,297.017,296.871,296.726,296.580,296.434,296.286,296.129,295.963,295.789,295.606,295.415,295.214,295.005,294.786,294.559,294.321,294.074,293.730,293.459,293.179,292.887,292.585,292.272,291.948,291.611,
2004-06-01 00:05:00,294.557,291.593,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,291.207,290.380,283.264,291.258,99200.000,295.470,295.444,295.394,295.327,295.246,295.152,295.048,294.935,294.816,294.691,294.562,294.430,294.296,294.161,294.027,293.893,293.760,293.630,293.499,293.359,295.456,295.414,295.352,295.275,295.185,295.084,294.974,294.856,294.733,294.605,294.474,294.341,294.206,294.071,293.937,293.804,293.673,293.543,293.407,293.219,293.074,292.983,292.899,292.820,292.745,292.676,292.611,292.551,292.494,292.440,292.387,292.334,292.281,292.230,292.179,292.130,292.082,292.034,291.988,291.944,291.900,291.845,291.804,291.766,291.728,291.692,291.658,291.624,291.593,
2004-06-01 00:10:00,292.705,291.595,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,291.277,290.458,283.172,291.267,99200.000,293.141,293.117,293.087,293.050,293.007,292.960,292.909,292.856,292.801,292.746,292.689,292.633,292.577,292.521,292.466,292.412,292.360,292.308,292.256,292.201,293.126,293.098,293.063,293.022,292.976,292.926,292.874,292.820,292.764,292.708,292.652,292.595,292.540,292.484,292.430,292.377,292.325,292.274,292.220,292.146,292.087,292.048,292.016,291.987,291.962,291.940,291.919,291.900,291.882,291.866,291.849,291.833,291.817,291.801,291.786,291.771,291.756,291.741,291.727,291.713,291.699,291.682,291.668,291.656,291.643,291.631,291.619,291.607,291.595,
2004-06-01 00:15:00,292.117,291.590,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,291.384,290.570,283.198,291.275,99200.000,292.497,292.455,292.412,292.368,292.325,292.282,292.240,292.198,292.157,292.117,292.078,292.041,292.005,291.970,291.938,291.907,291.877,291.850,291.825,291.800,292.470,292.427,292.383,292.339,292.296,292.254,292.212,292.170,292.130,292.091,292.053,292.017,291.982,291.948,291.917,291.887,291.859,291.833,291.808,291.776,291.754,291.741,291.730,291.720,291.711,291.703,291.696,291.690,291.684,291.678,291.673,291.668,291.662,291.657,291.652,291.647,291.643,291.638,291.633,291.629,291.624,291.618,291.614,291.610,291.606,291.602,291.598,291.594,291.590,
2004-06-01 00:20:00,291.862,291.594,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,291.493,290.683,283.224,291.283,99200.000,292.118,292.084,292.050,292.016,291.984,291.954,291.925,291.897,291.872,291.848,291.826,291.805,291.786,291.768,291.752,291.737,291.724,291.712,291.701,291.689,292.095,292.061,292.027,291.995,291.964,291.934,291.906,291.880,291.856,291.833,291.812,291.792,291.774,291.757,291.742,291.728,291.716,291.704,291.693,291.679,291.669,291.663,291.658,291.654,291.649,291.646,291.642,291.639,291.637,291.634,291.632,291.629,291.627,291.624,291.622,291.620,291.617,291.615,291.613,291.611,291.609,291.606,291.604,291.603,291.601,291.599,291.597,291.595,291.594,
2004-06-01 00:25:00,291.791,291.592,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,291.626,290.819,283.367,291.292,99200.000,292.025,291.989,291.955,291.923,291.893,291.865,291.839,291.815,291.792,291.772,291.754,291.737,291.722,291.708,291.695,291.684,291.674,291.666,291.658,291.650,292.001,291.966,291.933,291.902,291.874,291.847,291.822,291.800,291.779,291.760,291.742,291.726,291.712,291.699,291.688,291.677,291.668,291.660,291.653,291.644,291.638,291.634,291.631,291.628,291.626,291.623,291.621,291.619,291.618,291.616,291.615,291.613,291.612,291.610,291.609,291.607,291.606,291.605,291.604,291.602,291.601,291.599,291.598,291.597,291.596,291.595,291.594,291.593,291.592,
2004-06-01 00:30:00,291.784,291.595,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,291.761,290.955,283.511,291.300,99200.000,292.035,291.996,291.959,291.923,291.891,291.860,291.832,291.807,291.783,291.762,291.743,291.725,291.710,291.696,291.683,291.672,291.663,291.654,291.647,291.640,292.009,291.971,291.935,291.901,291.870,291.841,291.815,291.791,291.769,291.749,291.731,291.715,291.700,291.687,291.676,291.666,291.657,291.649,291.642,291.635,291.629,291.626,291.624,291.621,291.619,291.618,291.616,291.615,291.613,291.612,291.611,291.610,291.609,291.608,291.607,291.606,291.605,291.604,291.603,291.602,291.601,291.600,291.599,291.599,291.598,291.597,291.596,291.596,291.595,
2004-06-01 00:35:00,291.802,291.595,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,291.914,291.108,283.749,291.308,99200.000,292.074,292.032,291.992,291.954,291.918,291.885,291.855,291.827,291.802,291.778,291.757,291.738,291.721,291.705,291.692,291.679,291.669,291.659,291.651,291.644,292.046,292.005,291.966,291.930,291.896,291.865,291.836,291.810,291.786,291.764,291.744,291.726,291.710,291.696,291.683,291.672,291.662,291.654,291.646,291.637,291.631,291.628,291.625,291.622,291.620,291.618,291.617,291.615,291.614,291.612,291.611,291.610,291.609,291.608,291.607,291.606,291.605,291.604,291.603,291.602,291.601,291.600,291.599,291.599,291.598,291.597,291.596,291.596,291.595,
2004-06-01 00:40:00,291.831,291.598,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,292.068,291.262,283.987,291.317,99200.000,292.117,292.074,292.033,291.994,291.957,291.923,291.891,291.862,291.835,291.810,291.787,291.766,291.747,291.729,291.714,291.700,291.688,291.677,291.667,291.657,292.088,292.046,292.007,291.969,291.934,291.902,291.871,291.843,291.818,291.794,291.772,291.753,291.735,291.719,291.704,291.691,291.680,291.670,291.660,291.649,291.641,291.637,291.633,291.630,291.627,291.625,291.623,291.621,291.619,291.618,291.617,291.615,291.614,291.613,291.612,291.610,291.609,291.608,291.607,291.606,291.605,291.604,291.603,291.602,291.602,291.601,291.600,291.599,291.598,
2004-06-01 00:45:00,291.867,291.599,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,292.306,291.390,284.302,291.325,99200.000,292.160,292.118,292.077,292.038,292.001,291.966,291.934,291.903,291.875,291.848,291.824,291.801,291.780,291.761,291.744,291.728,291.714,291.701,291.689,291.677,292.132,292.091,292.051,292.013,291.978,291.944,291.913,291.884,291.857,291.832,291.808,291.787,291.767,291.749,291.733,291.718,291.705,291.693,291.681,291.666,291.656,291.650,291.645,291.641,291.638,291.634,291.632,291.629,291.627,291.625,291.624,291.622,291.620,291.618,291.617,291.615,291.614,291.613,291.611,291.610,291.609,291.607,291.606,291.605,291.604,291.602,291.601,291.600,291.599,
