cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[3.048],TempProf_cur[6.096],TempProf_cur[9.144],TempProf_cur[12.192],TempProf_cur[15.24],TempProf_cur[18.288],TempProf_cur[21.336],TempProf_cur[24.384],TempProf_cur[27.432],TempProf_cur[30.48],TempProf_cur[33.528],TempProf_cur[36.576],TempProf_cur[39.624],TempProf_cur[42.672],TempProf_cur[45.72],TempProf_cur[48.768],TempProf_cur[51.816],TempProf_cur[54.864],TempProf_cur[57.912],TempProf_cur[60.96],PresProf_cur[3.048],PresProf_cur[6.096],PresProf_cur[9.144],PresProf_cur[12.192],PresProf_cur[15.24],PresProf_cur[18.288],PresProf_cur[21.336],PresProf_cur[24.384],PresProf_cur[27.432],PresProf_cur[30.48],PresProf_cur[33.528],PresProf_cur[36.576],PresProf_cur[39.624],PresProf_cur[42.672],PresProf_cur[45.72],PresProf_cur[48.768],PresProf_cur[51.816],PresProf_cur[54.864],PresProf_cur[57.912],PresProf_cur[60.96],
2006-06-01 00:55:00,292.429,291.605,0.000,292.660,291.747,285.025,291.342,99200.000,293.093,292.944,292.811,292.694,292.589,292.496,292.413,292.341,292.279,292.227,292.186,292.156,292.139,292.137,292.153,292.183,292.223,292.267,292.311,292.390,100887.279,100851.974,100816.660,100781.341,100746.016,100710.689,100675.360,100640.030,100604.701,100569.374,100534.051,100498.732,100463.418,100428.113,100392.817,100357.533,100322.262,100287.006,100251.763,100216.535,
2006-06-01 01:00:00,292.449,291.608,0.000,292.751,291.819,285.245,291.350,99200.000,293.115,292.968,292.836,292.719,292.615,292.522,292.439,292.367,292.305,292.252,292.210,292.180,292.162,292.159,292.172,292.198,292.233,292.271,292.310,292.380,100887.326,100852.024,100816.713,100781.396,100746.075,100710.751,100675.425,100640.098,100604.773,100569.449,100534.128,100498.812,100463.502,100428.199,100392.905,100357.623,100322.354,100287.098,100251.855,100216.627,
2006-06-01 01:05:00,292.480,291.606,0.000,292.826,291.885,285.472,291.350,99200.000,293.146,293.001,292.870,292.755,292.651,292.559,292.476,292.404,292.342,292.289,292.247,292.215,292.197,292.192,292.202,292.225,292.255,292.289,292.324,292.387,100887.342,100852.043,100816.737,100781.424,100746.107,100710.788,100675.466,100640.144,100604.823,100569.503,100534.187,100498.875,100463.569,100428.270,100392.981,100357.702,100322.436,100287.182,100251.941,100216.714,
2006-06-01 01:10:00,292.517,291.605,0.000,292.900,291.950,285.699,291.350,99200.000,293.178,293.036,292.908,292.794,292.692,292.600,292.519,292.447,292.385,292.332,292.290,292.258,292.238,292.232,292.240,292.259,292.286,292.316,292.347,292.405,100887.340,100852.045,100816.743,100781.435,100746.123,100710.808,100675.492,100640.175,100604.859,100569.545,100534.234,100498.927,100463.626,100428.332,100393.047,100357.773,100322.510,100287.260,100252.022,100216.798,
2006-06-01 01:15:00,292.560,291.603,0.000,292.948,291.992,285.888,291.350,99200.000,293.215,293.075,292.949,292.837,292.736,292.646,292.565,292.494,292.433,292.380,292.337,292.305,292.284,292.277,292.283,292.299,292.323,292.350,292.379,292.432,100887.323,100852.033,100816.736,100781.433,100746.126,100710.816,100675.505,100640.194,100604.884,100569.575,100534.270,100498.969,100463.674,100428.385,100393.106,100357.836,100322.579,100287.333,100252.099,100216.878,
2006-06-01 01:20:00,292.600,291.602,0.000,292.995,292.035,286.076,291.350,99200.000,293.248,293.111,292.987,292.877,292.778,292.689,292.610,292.540,292.478,292.426,292.383,292.350,292.329,292.320,292.325,292.339,292.361,292.386,292.412,292.461,100887.306,100852.020,100816.727,100781.429,100746.127,100710.823,100675.517,100640.212,100604.907,100569.604,100534.304,100499.008,100463.718,100428.435,100393.161,100357.897,100322.643,100287.402,100252.172,100216.955,
2006-06-01 01:25:00,292.640,291.600,0.000,293.029,292.065,286.236,291.350,99200.000,293.281,293.146,293.024,292.916,292.818,292.731,292.653,292.583,292.522,292.470,292.428,292.395,292.373,292.363,292.366,292.379,292.399,292.421,292.446,292.491,100887.288,100852.007,100816.718,100781.425,100746.128,100710.828,100675.528,100640.227,100604.927,100569.630,100534.335,100499.045,100463.760,100428.483,100393.214,100357.954,100322.706,100287.468,100252.243,100217.030,
2006-06-01 01:30:00,292.676,291.600,0.000,293.062,292.095,286.396,291.350,99200.000,293.309,293.176,293.057,292.951,292.855,292.769,292.691,292.623,292.563,292.511,292.468,292.435,292.413,292.403,292.405,292.416,292.434,292.455,292.478,292.521,100887.276,100851.998,100816.713,100781.424,100746.131,100710.836,100675.540,100640.245,100604.950,100569.657,100534.367,100499.082,100463.802,100428.529,100393.265,100358.010,100322.766,100287.533,100252.311,100217.102,
2006-06-01 01:35:00,292.710,291.598,0.000,293.086,292.118,286.533,291.350,99200.000,293.336,293.205,293.087,292.983,292.888,292.803,292.727,292.659,292.600,292.549,292.506,292.473,292.451,292.440,292.441,292.451,292.468,292.487,292.509,292.549,100887.268,100851.993,100816.712,100781.426,100746.137,100710.847,100675.555,100640.263,100604.973,100569.685,100534.400,100499.119,100463.844,100428.575,100393.315,100358.065,100322.825,100287.595,100252.378,100217.172,
2006-06-01 01:40:00,292.740,291.597,0.000,293.111,292.141,286.670,291.350,99200.000,293.358,293.230,293.114,293.011,292.918,292.834,292.759,292.692,292.633,292.582,292.540,292.507,292.485,292.474,292.474,292.483,292.498,292.517,292.537,292.575,100887.266,100851.994,100816.716,100781.433,100746.148,100710.861,100675.573,100640.285,100604.999,100569.715,100534.434,100499.157,100463.886,100428.621,100393.365,100358.119,100322.882,100287.657,100252.443,100217.240,
