cur_datetime,canTemp,ForcTemp_K,sensWaste,EP_floor_energy[0],EP_floor_energy[1],EP_floor_energy[2],wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,Floor[1]_OAT_K,Floor[2]_OAT_K,Floor[3]_OAT_K,Floor[1]_OATwet_K,Floor[2]_OATwet_K,Floor[3]_OATwet_K,TempProf_cur[2.62],TempProf_cur[6.58],TempProf_cur[10.54],
2006-06-01 00:00:00,295.530,291.494,0.000,0.000,0.000,0.000,288.039,288.169,283.004,291.250,99200.000,295.750,295.636,295.428,290.391,290.362,290.310,295.728,295.510,295.139,
2006-06-01 00:05:00,292.206,291.486,0.000,0.000,0.000,0.000,288.199,288.319,282.656,291.258,99200.000,292.369,292.255,292.122,289.623,289.590,289.555,292.337,292.166,291.996,
2006-06-01 00:10:00,291.719,291.491,0.000,0.000,0.000,0.000,288.451,288.562,282.873,291.267,99200.000,291.818,291.732,291.668,289.588,289.558,289.536,291.786,291.687,291.621,
2006-06-01 00:15:00,291.926,291.491,0.000,0.000,0.000,0.000,288.809,288.913,282.988,291.275,99200.000,292.139,291.951,291.816,289.714,289.646,289.596,292.068,291.854,291.718,
2006-06-01 00:20:00,292.067,291.497,0.000,0.000,0.000,0.000,289.147,289.243,283.278,291.283,99200.000,292.364,292.105,291.913,289.793,289.700,289.628,292.269,291.967,291.772,
2006-06-01 00:25:00,292.026,291.499,0.000,0.000,0.000,0.000,289.413,289.502,283.943,291.292,99200.000,292.383,292.065,291.840,289.781,289.663,289.575,292.268,291.900,291.690,
2006-06-01 00:30:00,291.908,291.504,0.000,0.000,0.000,0.000,289.620,289.701,284.491,291.300,99200.000,292.229,291.948,291.740,289.702,289.597,289.514,292.130,291.796,291.601,
2006-06-01 00:35:00,291.807,291.507,0.000,0.000,0.000,0.000,289.799,289.873,285.184,291.308,99200.000,292.107,291.839,291.651,289.653,289.555,289.483,292.010,291.701,291.527,
2006-06-01 00:40:00,291.742,291.513,0.000,0.000,0.000,0.000,289.967,290.034,285.799,291.317,99200.000,292.015,291.770,291.600,289.633,289.545,289.483,291.925,291.645,291.489,
2006-06-01 00:45:00,291.711,291.517,0.000,0.000,0.000,0.000,290.137,290.190,286.393,291.325,99200.000,291.968,291.735,291.578,289.653,289.572,289.518,291.881,291.619,291.476,
2006-06-01 00:50:00,291.711,291.522,0.000,0.000,0.000,0.000,290.307,290.354,286.937,291.333,99200.000,291.955,291.734,291.584,289.691,289.614,289.564,291.873,291.624,291.488,
2006-06-01 00:55:00,291.721,291.526,0.000,0.000,0.000,0.000,290.478,290.520,287.443,291.342,99200.000,291.956,291.742,291.598,289.729,289.654,289.606,291.876,291.636,291.505,
2006-06-01 01:00:00,291.742,291.532,0.000,0.000,0.000,0.000,290.594,290.632,287.827,291.350,99200.000,291.971,291.763,291.623,289.783,289.712,289.666,291.894,291.660,291.531,
2006-06-01 01:05:00,291.754,291.530,0.000,0.000,0.000,0.000,290.685,290.720,288.142,291.350,99200.000,291.976,291.774,291.638,289.815,289.744,289.697,291.901,291.674,291.549,
2006-06-01 01:10:00,291.767,291.530,0.000,0.000,0.000,0.000,290.761,290.793,288.452,291.350,99200.000,291.985,291.788,291.654,289.837,289.767,289.719,291.912,291.689,291.566,
2006-06-01 01:15:00,291.774,291.528,0.000,0.000,0.000,0.000,290.823,290.853,288.685,291.350,99200.000,291.985,291.793,291.664,289.853,289.785,289.738,291.914,291.698,291.578,
2006-06-01 01:20:00,291.783,291.528,0.000,0.000,0.000,0.000,290.877,290.905,288.913,291.350,99200.000,291.991,291.802,291.675,289.854,289.784,289.735,291.921,291.709,291.591,
2006-06-01 01:25:00,291.786,291.527,0.000,0.000,0.000,0.000,290.923,290.949,289.086,291.350,99200.000,291.988,291.805,291.681,289.848,289.780,289.732,291.920,291.714,291.599,
2006-06-01 01:30:00,291.792,291.526,0.000,0.000,0.000,0.000,290.964,290.989,289.257,291.350,99200.000,291.991,291.811,291.689,289.847,289.781,289.734,291.924,291.721,291.608,
2006-06-01 01:35:00,291.793,291.525,0.000,0.000,0.000,0.000,290.999,291.023,289.387,291.350,99200.000,291.987,291.811,291.692,289.832,289.766,289.718,291.922,291.724,291.614,
2006-06-01 01:40:00,291.797,291.525,0.000,0.000,0.000,0.000,291.031,291.053,289.517,291.350,99200.000,291.989,291.815,291.698,289.818,289.753,289.705,291.924,291.729,291.620,
2006-06-01 01:45:00,291.796,291.523,0.000,0.000,0.000,0.000,291.059,291.080,289.617,291.350,99200.000,291.983,291.814,291.699,289.808,289.745,289.699,291.920,291.730,291.623,
2006-06-01 01:50:00,291.798,291.523,0.000,0.000,0.000,0.000,291.084,291.105,289.716,291.350,99200.000,291.983,291.816,291.702,289.789,289.725,289.678,291.921,291.733,291.627,
2006-06-01 01:55:00,291.796,291.522,0.000,0.000,0.000,0.000,291.107,291.126,289.794,291.350,99200.000,291.977,291.813,291.703,289.768,289.706,289.660,291.916,291.732,291.629,
2006-06-01 02:00:00,291.797,291.521,0.000,0.000,0.000,0.000,291.126,291.145,289.867,291.350,99200.000,291.976,291.814,291.704,289.756,289.695,289.651,291.915,291.734,291.632,
2006-06-01 02:05:00,291.796,291.527,0.000,0.000,0.000,0.000,291.142,291.160,289.923,291.358,99208.333,291.970,291.812,291.705,289.749,289.689,289.647,291.912,291.734,291.634,
2006-06-01 02:10:00,291.798,291.532,0.000,0.000,0.000,0.000,291.158,291.175,289.980,291.367,99216.667,291.971,291.815,291.709,289.730,289.670,289.626,291.913,291.737,291.639,
2006-06-01 02:15:00,291.693,291.538,0.000,0.000,0.000,0.000,291.139,291.155,290.000,291.375,99225.000,291.791,291.701,291.643,289.602,289.563,289.534,291.757,291.658,291.606,
