,Urban_DBT_C,Rural_DBT_C,Rural_Pres_Pa,MeteoData.Pre,sensWaste_CAPITOUL_WithShading_WithoutCooling_3_12.csv,7_TempProf_cur[20.0],7_PresProf_cur[20.0],7_sensor_idx_20.0
2004-07-01 00:00:00,20.016,19.575,99632.5,99626.78,0.0,293.361,99975.246,20.50409686545379
2004-07-01 00:05:00,20.034,19.516,99624.0,99626.881,0.0,293.314,99975.299,20.45700929473054
2004-07-01 00:10:00,20.07,19.518,99622.0,99626.983,0.0,293.272,99975.347,20.41492168945183
2004-07-01 00:15:00,19.858,19.472,99628.0,99627.085,0.0,293.23,99975.396,20.372834937005734
2004-07-01 00:20:00,19.838,19.468,99622.0,99627.186,0.0,293.189,99975.445,20.331750038467305
2004-07-01 00:25:00,19.818,19.422,99624.0,99627.288,0.0,293.147,99975.494,20.289663311564766
2004-07-01 00:30:00,19.724,19.358,99628.0,99627.39,0.0,293.106,99975.542,20.24857675644313
2004-07-01 00:35:00,19.704,19.322,99624.0,99627.492,0.0,293.064,99975.591,20.20649005532647
2004-07-01 00:40:00,19.596,19.264,99624.0,99627.593,0.0,293.023,99975.639,20.165404367938777
2004-07-01 00:45:00,19.736,19.186,99628.0,99627.695,0.0,292.982,99975.688,20.12431869022214
2004-07-01 00:50:00,19.688,19.138,99630.0,99627.797,0.0,292.941,99975.736,20.083232186258215
2004-07-01 00:55:00,19.574,19.066,99636.0,99627.898,0.0,292.9,99975.785,20.042147375527406
2004-07-01 01:00:00,19.52,19.026,99636.0,99628.0,0.0,292.859,99975.833,20.00106089700489
2004-07-01 01:05:00,19.442,18.974,99626.0,99628.528,0.0,292.815,99975.886,19.956617190533677
2004-07-01 01:10:00,19.39,18.906,99630.0,99629.056,0.0,292.771,99975.938,19.912172768739026
2004-07-01 01:15:00,19.398,18.908,99626.0,99629.583,0.0,292.727,99975.991,19.86773014961267
2004-07-01 01:20:00,19.348,18.856,99624.0,99630.111,0.0,292.682,99976.043,19.822284982326835
2004-07-01 01:25:00,19.314,18.848,99624.0,99630.639,0.0,292.638,99976.096,19.77784176948063
2004-07-01 01:30:00,19.316,18.862,99622.0,99631.167,0.0,292.595,99976.148,19.734398830895316
2004-07-01 01:35:00,19.422,18.882,99622.0,99631.694,0.0,292.551,99976.201,19.68995670348977
2004-07-01 01:40:00,19.326,18.898,99628.0,99632.222,0.0,292.507,99976.253,19.64551302076802
2004-07-01 01:45:00,19.264,18.858,99632.0,99632.75,0.0,292.463,99976.305,19.601069461328166
2004-07-01 01:50:00,19.17,18.836,99634.0,99633.278,0.0,292.42,99976.357,19.557627008778184
2004-07-01 01:55:00,19.216,18.832,99632.0,99633.806,0.0,292.376,99976.409,19.51318369452997
2004-07-01 02:00:00,19.306,18.812,99630.0,99634.333,0.0,292.332,99976.461,19.46874134352089
2004-07-01 02:05:00,19.104,18.68,99630.0,99634.556,0.0,292.275,99976.532,19.411557580593865
2004-07-01 02:10:00,19.034,18.562,99634.0,99634.778,0.0,292.214,99976.606,19.350373297822784
2004-07-01 02:15:00,19.116,18.504,99630.0,99635.0,0.0,292.152,99976.68,19.28818808785678
2004-07-01 02:20:00,19.14,18.436,99634.0,99635.222,0.0,292.09,99976.754,19.22600293113385
2004-07-01 02:25:00,18.91,18.436,99636.0,99635.444,0.0,292.029,99976.829,19.16481964260214
2004-07-01 02:30:00,18.746,18.374,99630.0,99635.667,0.0,291.968,99976.902,19.103633895131054
2004-07-01 02:35:00,18.542,18.33,99634.0,99635.889,0.0,291.907,99976.976,19.042449875343664
2004-07-01 02:40:00,18.526,18.266,99636.0,99636.111,0.0,291.847,99977.05,18.982266885399838
2004-07-01 02:45:00,18.6,18.228,99636.0,99636.333,0.0,291.786,99977.124,18.921082969966335
2004-07-01 02:50:00,18.478,18.198,99642.0,99636.556,0.0,291.725,99977.197,18.85989743338888
2004-07-01 02:55:00,18.382,18.156,99640.0,99636.778,0.0,291.664,99977.271,18.79871362308728
2004-07-01 03:00:00,18.418,18.086,99642.0,99637.0,0.0,291.604,99977.345,18.7385308409186
2004-07-01 03:05:00,18.328,18.036,99644.0,99633.583,0.0,291.547,99977.412,18.684393569023882
