,Urban_DBT_C,Rural_DBT_C,Rural_Pres_Pa,MeteoData.Pre,sensWaste_CAPITOUL_WithShading_WithCooling_3_12.csv,6_TempProf_cur[20.0],6_PresProf_cur[20.0],6_sensor_idx_20.0
2004-06-01 00:00:00,15.674,14.175999999999998,99744.0,99733.833,0.0,288.557,99981.059,15.611392672891384
2004-06-01 00:05:00,15.704,14.13,99740.0,99731.472,0.0,288.535,99981.057,15.591330371949482
2004-06-01 00:10:00,15.738,14.148,99738.0,99729.111,0.0,288.562,99981.026,15.62027924893556
2004-06-01 00:15:00,15.669999999999998,14.12,99734.0,99726.75,0.0,288.598,99980.988,15.658229319384247
2004-06-01 00:20:00,15.64,14.126,99732.0,99724.389,0.0,288.633,99980.952,15.695180846359733
2004-06-01 00:25:00,15.688,14.174,99734.0,99722.028,0.0,288.662,99980.919,15.726130927836607
2004-06-01 00:30:00,15.698,14.204,99734.0,99719.667,0.0,288.686,99980.888,15.752079366441649
2004-06-01 00:35:00,15.652,14.23,99734.0,99717.306,0.0,288.667,99980.927,15.735053558341633
2004-06-01 00:40:00,15.64,14.242,99730.0,99714.944,0.0,288.602,99981.016,15.67203462187382
2004-06-01 00:45:00,15.622,14.244,99730.0,99712.583,0.0,288.522,99981.109,15.594005765379961
2004-06-01 00:50:00,15.61,14.226,99728.0,99710.222,0.0,288.45,99981.192,15.523973796865846
2004-06-01 00:55:00,15.598,14.19,99728.0,99707.861,0.0,288.392,99981.261,15.467940289027979
2004-06-01 01:00:00,15.618,14.178,99730.0,99705.5,0.0,288.344,99981.321,15.421906507353185
2004-06-01 01:05:00,15.534,14.194,99718.0,99703.931,0.0,288.297,99981.383,15.376219076163807
2004-06-01 01:10:00,15.446000000000002,14.191999999999998,99716.0,99702.361,0.0,288.251,99981.442,15.33153038325895
2004-06-01 01:15:00,15.412,14.194,99710.0,99700.792,0.0,288.206,99981.5,15.287840438818478
2004-06-01 01:20:00,15.388,14.174,99712.0,99699.222,0.0,288.162,99981.556,15.24515008718987
2004-06-01 01:25:00,15.404,14.154,99708.0,99697.653,0.0,288.118,99981.612,15.20245852431492
2004-06-01 01:30:00,15.408,14.169999999999998,99706.0,99696.083,0.0,288.076,99981.665,15.16176656735422
2004-06-01 01:35:00,15.4,14.152,99702.0,99694.514,0.0,288.033,99981.718,15.12007259563029
2004-06-01 01:40:00,15.502,14.15,99694.0,99692.944,0.0,287.993,99981.769,15.081379911172462
2004-06-01 01:45:00,15.504,14.175999999999998,99690.0,99691.375,0.0,287.953,99981.818,15.042684405523914
2004-06-01 01:50:00,15.526,14.204,99684.0,99689.806,0.0,287.916,99981.866,15.006990241637027
