,Urban_DBT_C,Rural_DBT_C,Rural_Pres_Pa,MeteoData.Pre,sensWaste_CAPITOUL_WithShading_WithCooling_7_OnlyVCWG_Bueno.csv,MeteoData.Tatm,7_TempProf_cur[20.0],7_PresProf_cur[20.0],7_sensor_idx_20.0
2004-07-01 04:20:00,17.608,16.816,99598.0,100093.0,30.07,18.067000000000007,292.287,100468.568,19.450241656827814
2004-07-01 04:25:00,17.482,16.77,99604.0,100090.75,30.286,18.008000000000038,292.218,100468.669,19.383132533251
2004-07-01 04:30:00,17.44,16.768,99598.0,100088.5,29.151,17.950000000000045,292.15,100468.77,19.317023622303907
2004-07-01 04:35:00,17.41,16.772,99592.0,100086.25,29.409,17.891999999999996,292.083,100468.87,19.251914111756207
2004-07-01 04:40:00,17.468,16.762,99588.0,100084.0,28.305,17.833000000000027,292.016,100468.971,19.186804588076313
2004-07-01 04:45:00,17.582,16.82,99580.0,100081.75,28.59,17.775000000000034,291.949,100469.072,19.121694218675998
2004-07-01 04:50:00,17.46,16.863999999999997,99588.0,100079.5,27.508,17.71700000000004,291.883,100469.173,19.057584115555073
2004-07-01 04:55:00,17.348000000000003,16.902,99592.0,100077.25,38.331,17.658000000000015,291.817,100469.274,18.993473180093304
2004-07-01 05:00:00,17.351999999999997,16.916000000000004,99590.0,100075.0,37.87,17.600000000000023,291.806,100469.351,18.984403355509244
2004-07-01 05:05:00,17.380000000000003,16.924,99588.0,100076.25,38.689,17.608000000000004,291.787,100469.381,18.96436339745088
2004-07-01 05:10:00,17.554,16.93,99588.0,100077.5,38.203,17.61700000000002,291.779,100469.399,18.95532591319062
2004-07-01 05:15:00,17.5,16.942,99592.0,100078.75,29.164,17.625,291.512,100469.542,18.687103593301117
2004-07-01 05:20:00,17.584,16.966,99598.0,100080.0,20.149,17.633000000000038,291.284,100469.678,18.457920541029182
2004-07-01 05:25:00,17.562,16.99,99598.0,100081.25,20.539,17.641999999999996,291.233,100469.723,18.405859700375743
2004-07-01 05:30:00,17.466,17.016,99598.0,100082.5,22.135,17.650000000000034,291.238,100469.735,18.40983372738191
2004-07-01 05:35:00,17.374,17.058,99598.0,100083.75,23.21,17.658000000000015,291.258,100469.738,18.42881678816144
2004-07-01 05:40:00,17.516,17.125999999999998,99594.0,100085.0,23.64,17.66700000000003,291.26,100469.747,18.429784940524655
2004-07-01 05:45:00,17.598000000000003,17.146,99596.0,100086.25,23.477,17.67500000000001,291.252,100469.761,18.420746301466636
2004-07-01 05:50:00,17.566,17.154,99600.0,100087.5,23.155,17.68300000000005,291.235,100469.781,18.40270289749708
2004-07-01 05:55:00,17.498,17.162,99608.0,100088.75,32.433,17.692000000000007,291.222,100469.798,18.38866148951695
2004-07-01 06:00:00,17.538,17.22,99612.0,100090.0,32.504,17.700000000000045,291.231,100469.804,18.396634904895336
2004-07-01 06:05:00,17.618000000000002,17.186,99614.0,100094.333,32.431,17.708000000000027,291.237,100469.799,18.399027576174376
2004-07-01 06:10:00,17.412,17.11,99620.0,100098.667,32.077,17.71700000000004,291.236,100469.799,18.394416203342757
2004-07-01 06:15:00,17.56,17.18,99622.0,100103.0,32.743,17.725000000000023,291.257,100469.788,18.411819784772035
2004-07-01 06:20:00,17.452,17.216,99626.0,100107.333,29.486,17.733000000000004,291.225,100469.8,18.376187322895987
2004-07-01 06:25:00,17.32,17.304,99616.0,100111.667,29.965,17.74200000000002,291.201,100469.812,18.34856319459425
2004-07-01 06:30:00,17.48,17.344,99618.0,100116.0,27.881,17.75,291.175,100469.826,18.318940333316277
2004-07-01 06:35:00,17.490000000000002,17.32,99626.0,100120.333,29.327,17.758000000000038,291.184,100469.822,18.32433827999506
2004-07-01 06:40:00,17.482,17.241999999999997,99632.0,100124.667,27.685,17.766999999999996,291.177,100469.826,18.313726254164806
2004-07-01 06:45:00,17.5,17.254,99638.0,100129.0,29.074,17.775000000000034,291.19,100469.82,18.323126584515194
2004-07-01 06:50:00,17.413999999999998,17.276,99642.0,100133.333,27.395,17.783000000000015,291.179,100469.825,18.308512881919796
