,Urban_DBT_C,Rural_DBT_C,Rural_Pres_Pa,MeteoData.Pre,sensWaste_CAPITOUL_WithShading_WithCooling_3_12.csv,7_TempProf_cur[20.0],7_PresProf_cur[20.0],7_sensor_idx_20.0
2004-07-01 00:00:00,20.016,19.575,99632.5,99626.78,0.0,293.358,99975.247,20.50109470820496
2004-07-01 00:05:00,20.034,19.516,99624.0,99626.881,0.0,293.311,99975.3,20.45400713776195
2004-07-01 00:10:00,20.07,19.518,99622.0,99626.983,0.0,293.269,99975.349,20.41192037262357
2004-07-01 00:15:00,19.858,19.472,99628.0,99627.085,0.0,293.227,99975.398,20.36983362039416
2004-07-01 00:20:00,19.838,19.468,99622.0,99627.186,0.0,293.186,99975.446,20.32874788251428
2004-07-01 00:25:00,19.818,19.422,99624.0,99627.288,0.0,293.144,99975.495,20.286661155949275
2004-07-01 00:30:00,19.724,19.358,99628.0,99627.39,0.0,293.103,99975.544,20.24557544049327
2004-07-01 00:35:00,19.704,19.322,99624.0,99627.492,0.0,293.061,99975.592,20.203487900397533
2004-07-01 00:40:00,19.596,19.264,99624.0,99627.593,0.0,293.02,99975.641,20.16240305242809
2004-07-01 00:45:00,19.736,19.186,99628.0,99627.695,0.0,292.979,99975.69,20.121317374933994
2004-07-01 00:50:00,19.688,19.138,99630.0,99627.797,0.0,292.938,99975.738,20.080230871201138
2004-07-01 00:55:00,19.574,19.066,99636.0,99627.898,0.0,292.896,99975.787,20.038145063248066
2004-07-01 01:00:00,19.52,19.026,99636.0,99628.0,0.0,292.855,99975.835,19.997058585112256
2004-07-01 01:05:00,19.442,18.974,99626.0,99628.528,0.0,292.812,99975.887,19.953615041284195
2004-07-01 01:10:00,19.39,18.906,99630.0,99629.056,0.0,292.768,99975.94,19.909171461817834
2004-07-01 01:15:00,19.398,18.908,99626.0,99629.583,0.0,292.723,99975.993,19.863727853339867
2004-07-01 01:20:00,19.348,18.856,99624.0,99630.111,0.0,292.679,99976.045,19.819283683082176
2004-07-01 01:25:00,19.314,18.848,99624.0,99630.639,0.0,292.634,99976.098,19.773839483626602
2004-07-01 01:30:00,19.316,18.862,99622.0,99631.167,0.0,292.591,99976.15,19.730396550264913
2004-07-01 01:35:00,19.422,18.882,99622.0,99631.694,0.0,292.547,99976.203,19.6859544280544
2004-07-01 01:40:00,19.326,18.898,99628.0,99632.222,0.0,292.503,99976.255,19.64151075055048
2004-07-01 01:45:00,19.264,18.858,99632.0,99632.75,0.0,292.459,99976.307,19.597067196328453
2004-07-01 01:50:00,19.17,18.836,99634.0,99633.278,0.0,292.416,99976.359,19.55362474900187
2004-07-01 01:55:00,19.216,18.832,99632.0,99633.806,0.0,292.371,99976.411,19.50818045772479
2004-07-01 02:00:00,19.306,18.812,99630.0,99634.333,0.0,292.328,99976.463,19.46473909416858
2004-07-01 02:05:00,19.104,18.68,99630.0,99634.556,0.0,292.27,99976.534,19.40655435221902
2004-07-01 02:10:00,19.034,18.562,99634.0,99634.778,0.0,292.21,99976.608,19.34637105124449
2004-07-01 02:15:00,19.116,18.504,99630.0,99635.0,0.0,292.148,99976.682,19.28418584262539
2004-07-01 02:20:00,19.14,18.436,99634.0,99635.222,0.0,292.086,99976.757,19.222001523627682
2004-07-01 02:25:00,18.91,18.436,99636.0,99635.444,0.0,292.024,99976.831,19.159816421315895
2004-07-01 02:30:00,18.746,18.374,99630.0,99635.667,0.0,291.964,99976.904,19.099631653963172
2004-07-01 02:35:00,18.542,18.33,99634.0,99635.889,0.0,291.903,99976.978,19.03844763552837
2004-07-01 02:40:00,18.526,18.266,99636.0,99636.111,0.0,291.842,99977.052,18.97726366948359
2004-07-01 02:45:00,18.6,18.228,99636.0,99636.333,0.0,291.781,99977.126,18.91607975582866
2004-07-01 02:50:00,18.478,18.198,99642.0,99636.556,0.0,291.721,99977.2,18.855896032987346
2004-07-01 02:55:00,18.382,18.156,99640.0,99636.778,0.0,291.66,99977.274,18.79471222386269
