,Urban_DBT_C,Rural_DBT_C,Rural_Pres_Pa,MeteoData.Pre,sensWaste_CAPITOUL_WithShading_WithoutCooling_3_12.csv,11_TempProf_cur[20.0],11_PresProf_cur[20.0],11_sensor_idx_20.0
2004-11-01 00:00:00,8.528,7.556,98776.0,98762.5,0.0,281.722,99989.495,9.56859944266779
2004-11-01 00:05:00,8.434000000000001,7.479999999999999,98772.0,98762.833,0.0,281.807,99989.431,9.653575651722406
2004-11-01 00:10:00,8.292,7.442,98762.0,98763.167,0.0,281.866,99989.388,9.712475921847954
2004-11-01 00:15:00,8.18,7.340000000000001,98760.0,98763.5,0.0,281.922,99989.355,9.768374373161066
2004-11-01 00:20:00,8.134,7.004,98758.0,98763.833,0.0,281.973,99989.326,9.819258278435598
2004-11-01 00:25:00,8.117999999999999,6.758,98760.0,98764.167,0.0,282.013,99989.303,9.859107261859435
2004-11-01 00:30:00,8.09,6.95,98758.0,98764.5,0.0,282.036,99989.3,9.881913145704232
2004-11-01 00:35:00,7.996,6.7700000000000005,98758.0,98764.833,0.0,282.036,99989.323,9.881658840174623
2004-11-01 00:40:00,7.85,6.574,98756.0,98765.167,0.0,282.011,99989.362,9.856328434200805
2004-11-01 00:45:00,7.642,6.68,98762.0,98765.5,0.0,281.971,99989.408,9.81595162919973
2004-11-01 00:50:00,7.616,6.773999999999999,98762.0,98765.833,0.0,281.927,99989.454,9.771560781251594
2004-11-01 00:55:00,7.598000000000001,6.99,98766.0,98766.167,0.0,281.886,99989.497,9.730177342094635
2004-11-01 01:00:00,7.578,7.004,98766.0,98766.5,0.0,281.848,99989.538,9.691803752612827
2004-11-01 01:05:00,7.564,6.890000000000001,98770.0,98766.208,0.0,281.814,99989.577,9.657954543826634
2004-11-01 01:10:00,7.684,6.73,98770.0,98765.917,0.0,281.783,99989.614,9.627113418025544
2004-11-01 01:15:00,7.686,6.214,98768.0,98765.625,0.0,281.753,99989.65,9.597275773070407
2004-11-01 01:20:00,7.6,5.948,98768.0,98765.333,0.0,281.724,99989.685,9.568440793138734
2004-11-01 01:25:00,7.552,5.952,98770.0,98765.042,0.0,281.696,99989.719,9.540607662720959
2004-11-01 01:30:00,7.523999999999999,6.258,98768.0,98764.75,0.0,281.669,99989.752,9.513778022179338
2004-11-01 01:35:00,7.6,6.356,98764.0,98764.458,0.0,281.643,99989.784,9.487951055891642
2004-11-01 01:40:00,7.590000000000001,6.36,98760.0,98764.167,0.0,281.617,99989.816,9.462123223264825
2004-11-01 01:45:00,7.506,6.436,98766.0,98763.875,0.0,281.593,99989.847,9.438302421945991
2004-11-01 01:50:00,7.406000000000001,6.506,98764.0,98763.583,0.0,281.568,99989.877,9.413477232876971
