,Urban_DBT_C,Rural_DBT_C,Rural_Pres_Pa,MeteoData.Pre,sensWaste_CAPITOUL_WithShading_WithoutCooling_3_12.csv,9_TempProf_cur[20.0],9_PresProf_cur[20.0],9_sensor_idx_20.0
2004-09-01 00:00:00,17.366,14.394,99254.0,99239.0,0.0,290.763,99978.343,18.230898350170833
2004-09-01 00:05:00,17.34,14.494,99248.0,99235.972,0.0,290.814,99978.331,18.284539953676244
2004-09-01 00:10:00,17.48,14.41,99250.0,99232.944,0.0,290.839,99978.355,18.312156855384956
2004-09-01 00:15:00,17.34,14.38,99246.0,99229.917,0.0,290.818,99978.412,18.29370200448028
2004-09-01 00:20:00,17.294,14.324000000000002,99242.0,99226.889,0.0,290.76,99978.487,18.238182787861433
2004-09-01 00:25:00,17.278,14.162,99238.0,99223.861,0.0,290.686,99978.568,18.16663292148644
2004-09-01 00:30:00,17.154,13.98,99240.0,99220.833,0.0,290.614,99978.649,18.09708618403249
2004-09-01 00:35:00,17.202,14.172,99242.0,99217.806,0.0,290.547,99978.726,18.032545020391012
2004-09-01 00:40:00,17.278,14.116,99236.0,99214.778,0.0,290.486,99978.801,17.974015108031494
2004-09-01 00:45:00,17.125999999999998,14.294,99226.0,99211.75,0.0,290.428,99978.874,17.91848915373987
2004-09-01 00:50:00,17.178,13.938,99224.0,99208.722,0.0,290.371,99978.946,17.863963642949102
2004-09-01 00:55:00,17.174,13.77,99222.0,99205.694,0.0,290.315,99979.017,17.810438602940792
2004-09-01 01:00:00,16.990000000000002,13.66,99220.0,99202.667,0.0,290.26,99979.088,17.75791405446836
2004-09-01 01:05:00,16.996000000000002,13.691999999999998,99214.0,99201.736,0.0,290.208,99979.149,17.70662941366993
2004-09-01 01:10:00,16.906,13.588,99214.0,99200.806,0.0,290.161,99979.205,17.660350676291102
2004-09-01 01:15:00,16.738,13.88,99210.0,99199.875,0.0,290.118,99979.26,17.618080650370132
2004-09-01 01:20:00,16.669999999999998,14.07,99204.0,99198.944,0.0,290.076,99979.313,17.576810969474593
2004-09-01 01:25:00,16.61,14.012,99206.0,99198.014,0.0,290.035,99979.366,17.53654246782304
2004-09-01 01:30:00,16.413999999999998,13.957999999999998,99200.0,99197.083,0.0,289.994,99979.42,17.496275412363445
2004-09-01 01:35:00,16.345999999999997,13.828,99196.0,99196.153,0.0,289.865,99979.703,17.36799941996344
2004-09-01 01:40:00,16.246,13.686000000000002,99196.0,99195.222,0.0,289.602,99980.153,17.105559691259486
2004-09-01 01:45:00,16.058,13.303999999999998,99192.0,99194.292,0.0,289.23,99980.64,16.733901304921858
2004-09-01 01:50:00,15.948,13.108,99190.0,99193.361,0.0,288.855,99981.085,16.359199147994616
2004-09-01 01:55:00,15.898,12.832,99190.0,99192.431,0.0,288.285,99981.615,15.789121037889515
2004-09-01 02:00:00,15.884,12.386,99190.0,99191.5,0.0,287.841,99982.038,15.345237097582697
2004-09-01 02:05:00,15.802,12.512,99192.0,99189.986,0.0,287.686,99982.186,15.191265579389153
2004-09-01 02:10:00,15.73,13.2,99194.0,99188.472,0.0,287.611,99982.283,15.117433145673715
2004-09-01 02:15:00,15.675999999999998,13.07,99202.0,99186.958,0.0,287.552,99982.372,15.059630036164151
2004-09-01 02:20:00,15.606,12.874,99196.0,99185.444,0.0,287.485,99982.464,14.993810545225926
2004-09-01 02:25:00,15.566,13.124,99194.0,99183.931,0.0,287.41,99982.561,14.919975377185722
2004-09-01 02:30:00,15.536,13.063999999999998,99196.0,99182.417,0.0,287.33,99982.66,14.841130510163794
2004-09-01 02:35:00,15.538,12.608,99184.0,99180.903,0.0,287.25,99982.76,14.762285746509747
2004-09-01 02:40:00,15.372,12.396,99184.0,99179.389,0.0,287.171,99982.859,14.68444174910178
2004-09-01 02:45:00,15.3,11.968,99186.0,99177.875,0.0,287.093,99982.957,14.607598532569625
2004-09-01 02:50:00,15.298000000000002,11.966,99190.0,99176.361,0.0,287.015,99983.056,14.530755437760604
2004-09-01 02:55:00,15.256,11.912,99190.0,99174.847,0.0,286.938,99983.154,14.454913142863063
2004-09-01 03:00:00,15.202000000000002,11.514,99190.0,99173.333,0.0,286.86,99983.252,14.378067827158816
2004-09-01 03:05:00,15.18,11.996,99196.0,99170.667,0.0,286.893,99983.183,14.413298822926777
2004-09-01 03:10:00,15.144,12.142,99190.0,99168.0,0.0,286.985,99983.06,14.507625077074863
2004-09-01 03:15:00,15.18,11.56,99182.0,99165.333,0.0,287.107,99982.908,14.63199942069565
2004-09-01 03:20:00,15.124,11.132,99184.0,99162.667,0.0,287.246,99982.729,14.773392637300105
2004-09-01 03:25:00,15.106,11.082,99188.0,99160.0,0.0,287.405,99982.519,14.934810521294082
2004-09-01 03:30:00,15.21,11.364,99178.0,99157.333,0.0,287.529,99982.374,15.061201291682494
2004-09-01 03:35:00,15.169999999999998,11.75,99168.0,99154.667,0.0,287.479,99982.499,15.013401565923232
2004-09-01 03:40:00,15.202000000000002,11.718,99164.0,99152.0,0.0,287.305,99982.716,14.841381524548979
2004-09-01 03:45:00,15.524,11.38,99152.0,99149.333,0.0,287.105,99982.939,14.643301270053655
2004-09-01 03:50:00,15.468,11.456,99148.0,99146.667,0.0,286.934,99983.141,14.474269413348054
2004-09-01 03:55:00,15.352,11.514,99140.0,99144.0,0.0,286.788,99983.325,14.330281177294012
2004-09-01 04:00:00,15.35,11.58,99140.0,99141.333,0.0,286.654,99983.498,14.198310638264047
2004-09-01 04:05:00,15.378,11.07,99138.0,99142.653,0.0,286.546,99983.635,14.089067842494899
2004-09-01 04:10:00,15.19,11.198,99138.0,99143.972,0.0,286.447,99983.763,13.98884097772401
2004-09-01 04:15:00,15.035999999999998,11.714,99138.0,99145.292,0.0,286.352,99983.889,13.892621990312705
