,Urban_DBT_C,Rural_DBT_C,Rural_Pres_Pa,MeteoData.Pre,sensWaste_CAPITOUL_WithShading_WithCooling_3_12.csv,10_TempProf_cur[20.0],10_PresProf_cur[20.0],10_sensor_idx_20.0
2004-10-01 00:00:00,17.612000000000002,17.735999999999997,99908.0,99904.0,0.0,291.011,99977.923,17.922568341581552
2004-10-01 00:05:00,17.625999999999998,17.72,99904.0,99900.278,0.0,290.953,99977.975,17.867700238109705
2004-10-01 00:10:00,17.512,17.734,99908.0,99896.556,0.0,290.909,99978.012,17.826821809418334
2004-10-01 00:15:00,17.5,17.716,99916.0,99892.833,0.0,290.872,99978.043,17.79294012930933
2004-10-01 00:20:00,17.458,17.688,99916.0,99889.111,0.0,290.839,99978.072,17.763056324077752
2004-10-01 00:25:00,17.502000000000002,17.694,99914.0,99885.389,0.0,290.809,99978.099,17.736171090794528
2004-10-01 00:30:00,17.528,17.662,99910.0,99881.667,0.0,290.78,99978.125,17.7102848063667
2004-10-01 00:35:00,17.476,17.654000000000003,99900.0,99877.944,0.0,290.752,99978.152,17.68539999993692
2004-10-01 00:40:00,17.356,17.66,99902.0,99874.222,0.0,290.726,99978.178,17.662513671598845
2004-10-01 00:45:00,17.354000000000003,17.758000000000003,99894.0,99870.5,0.0,290.701,99978.203,17.64062641047053
2004-10-01 00:50:00,17.366,17.744,99888.0,99866.778,0.0,290.677,99978.228,17.61973908069723
2004-10-01 00:55:00,17.332,17.712,99888.0,99863.056,0.0,290.656,99978.251,17.601850710552753
2004-10-01 01:00:00,17.212,17.747999999999998,99882.0,99859.333,0.0,290.638,99978.274,17.586963892938684
2004-10-01 01:05:00,17.196,17.698,99884.0,99855.528,0.0,290.618,99978.305,17.570151066942117
2004-10-01 01:10:00,17.2,17.66,99882.0,99851.722,0.0,290.597,99978.339,17.552340922056885
2004-10-01 01:15:00,17.160000000000004,17.625999999999998,99874.0,99847.917,0.0,290.574,99978.376,17.53253138598768
2004-10-01 01:20:00,17.124000000000002,17.564,99866.0,99844.111,0.0,290.55,99978.413,17.511721947508534
2004-10-01 01:25:00,17.152,17.503999999999998,99860.0,99840.306,0.0,290.524,99978.452,17.488912175639825
2004-10-01 01:30:00,17.162,17.456,99856.0,99836.5,0.0,290.497,99978.491,17.465102412886267
