cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],canTemp_C
6/1/2004 0:05,291.218,289.343,0,291.076,291.664,290.799,287.334,99731.472,289.952,100087.982,18.068
6/1/2004 0:10,290.26,289.373,0,291.059,291.646,290.758,287.334,99729.111,289.519,100088.213,17.11
6/1/2004 0:15,290.486,289.338,0,291.081,291.67,290.744,287.334,99726.75,289.51,100088.246,17.336
6/1/2004 0:20,290.778,289.368,0,291.114,291.706,290.742,287.334,99724.389,289.575,100088.196,17.628
6/1/2004 0:25,290.855,289.355,0,291.129,291.724,290.724,287.334,99722.028,289.606,100088.187,17.705
6/1/2004 0:30,290.935,289.384,0,291.143,291.742,290.699,287.334,99719.667,289.643,100088.149,17.785
6/1/2004 0:35,290.828,289.245,0,291.128,291.729,290.655,287.333,99717.306,289.565,100088.276,17.678
6/1/2004 0:40,290.705,289.08,0,291.111,291.714,290.6,287.333,99714.944,289.413,100088.472,17.555
6/1/2004 0:45,290.461,288.92,0,291.07,291.673,290.527,287.333,99712.583,289.234,100088.68,17.311
6/1/2004 0:50,290.336,288.8,0,291.05,291.656,290.453,287.333,99710.222,289.096,100088.84,17.186
6/1/2004 0:55,290.187,288.682,0,291.022,291.63,290.372,287.333,99707.861,288.975,100088.986,17.037
6/1/2004 1:00,290.146,288.591,0,291.006,291.612,290.316,287.333,99705.5,288.886,100089.1,16.996
6/1/2004 1:05,290.042,288.519,0,290.978,291.58,290.259,287.342,99703.931,288.811,100089.191,16.892
6/1/2004 1:10,290.034,288.461,0,290.965,291.566,290.212,287.351,99702.361,288.758,100089.261,16.884
6/1/2004 1:15,289.932,288.395,0,290.937,291.533,290.16,287.36,99700.792,288.697,100089.339,16.782
6/1/2004 1:20,289.919,288.338,0,290.922,291.515,290.115,287.369,99699.222,288.645,100089.407,16.769
6/1/2004 1:25,289.809,288.276,0,290.891,291.479,290.064,287.378,99697.653,288.583,100089.484,16.659
6/1/2004 1:30,289.795,288.221,0,290.875,291.46,290.021,287.387,99696.083,288.53,100089.551,16.645
6/1/2004 1:35,289.687,288.162,0,290.842,291.422,289.971,287.396,99694.514,288.469,100089.624,16.537
6/1/2004 1:40,289.679,288.109,0,290.825,291.402,289.929,287.405,99692.944,288.419,100089.69,16.529
6/1/2004 1:45,289.574,288.053,0,290.791,291.363,289.88,287.414,99691.375,288.36,100089.76,16.424
6/1/2004 1:50,289.574,288.002,0,290.774,291.343,289.84,287.423,99689.806,288.312,100089.822,16.424
6/1/2004 1:55,289.47,287.949,0,290.739,291.303,289.792,287.432,99688.236,288.256,100089.889,16.32
6/1/2004 2:00,289.475,287.9,0,290.729,291.29,289.769,287.441,99686.667,288.211,100089.948,16.325
6/1/2004 2:05,289.392,287.892,0,290.705,291.261,289.744,287.444,99685.875,288.186,100089.969,16.242
6/1/2004 2:10,289.44,287.884,0,290.702,291.256,289.736,287.446,99685.083,288.182,100089.977,16.29
6/1/2004 2:15,289.377,287.875,0,290.683,291.233,289.723,287.448,99684.292,288.172,100089.988,16.227
6/1/2004 2:20,289.427,287.867,0,290.683,291.231,289.723,287.45,99683.5,288.171,100089.995,16.277
6/1/2004 2:25,289.352,287.859,0,290.664,291.208,289.715,287.453,99682.708,288.158,100090.007,16.202
6/1/2004 2:30,289.397,287.852,0,290.665,291.207,289.72,287.455,99681.917,288.155,100090.014,16.247
6/1/2004 2:35,289.319,287.845,0,290.646,291.185,289.715,287.457,99681.125,288.142,100090.026,16.169
6/1/2004 2:40,289.367,287.838,0,290.649,291.185,289.723,287.46,99680.333,288.141,100090.031,16.217
6/1/2004 2:45,289.289,287.832,0,290.631,291.164,289.722,287.462,99679.542,288.129,100090.041,16.139
6/1/2004 2:50,289.341,287.827,0,290.635,291.166,289.734,287.464,99678.75,288.129,100090.046,16.191
6/1/2004 2:55,289.262,287.821,0,290.618,291.145,289.736,287.466,99677.958,288.119,100090.055,16.112
6/1/2004 3:00,289.316,287.817,0,290.618,291.143,289.736,287.469,99677.167,288.119,100090.058,16.166
