,Urban_DBT_C,Rural_DBT_C,Rural_Pres_Pa,MeteoData.Pre,sensWaste_CAPITOUL_WithShading_WithCooling_3_12.csv,4_TempProf_cur[20.0],4_PresProf_cur[20.0],4_sensor_idx_20.0
2004-04-01 00:00:00,10.568,9.708,98488.0,98459.667,0.0,283.704,99987.029,11.805769948541467
2004-04-01 00:05:00,10.472,9.822,98482.0,98455.75,0.0,283.739,99987.003,11.84414585668975
2004-04-01 00:10:00,10.396,9.798,98468.0,98451.833,0.0,283.755,99986.985,11.863444982996157
2004-04-01 00:15:00,10.356,9.74,98464.0,98447.917,0.0,283.752,99986.975,11.863665852339125
2004-04-01 00:20:00,10.336,9.762,98466.0,98444.0,0.0,283.729,99986.976,11.843807458674746
2004-04-01 00:25:00,10.294,9.816,98464.0,98440.083,0.0,283.695,99986.986,11.812906879363595
2004-04-01 00:30:00,10.244,9.764,98462.0,98436.167,0.0,283.656,99987.001,11.776986530463773
2004-04-01 00:35:00,10.208,9.834,98458.0,98432.25,0.0,283.617,99987.019,11.741068725341961
2004-04-01 00:40:00,10.39,9.894,98452.0,98428.333,0.0,283.582,99987.037,11.709168205535434
2004-04-01 00:45:00,10.358,9.942,98438.0,98424.417,0.0,283.554,99987.052,11.684295382500409
2004-04-01 00:50:00,10.378,10.028,98438.0,98420.5,0.0,283.531,99987.064,11.664443099913171
2004-04-01 00:55:00,10.198,10.136,98436.0,98416.583,0.0,283.514,99987.074,11.650616055312298
2004-04-01 01:00:00,10.13,10.12,98440.0,98412.667,0.0,283.5,99987.08,11.639798349724117
2004-04-01 01:05:00,10.128,10.084,98440.0,98407.764,0.0,283.486,99987.102,11.629810406357535
2004-04-01 01:10:00,10.132,10.032,98436.0,98402.861,0.0,283.47,99987.126,11.617814793391858
2004-04-01 01:15:00,10.21,9.966,98432.0,98397.958,0.0,283.453,99987.15,11.604814388000136
2004-04-01 01:20:00,10.228,9.888,98426.0,98393.056,0.0,283.436,99987.175,11.591813740900307
2004-04-01 01:25:00,10.324000000000002,9.872,98412.0,98388.153,0.0,283.418,99987.202,11.577810700231055
2004-04-01 01:30:00,10.328,9.85,98408.0,98383.25,0.0,283.398,99987.229,11.561798130244938
2004-04-01 01:35:00,10.334,9.924,98404.0,98378.347,0.0,283.379,99987.257,11.546790709696609
2004-04-01 01:40:00,10.374,9.868,98400.0,98373.444,0.0,283.359,99987.286,11.530779152273226
2004-04-01 01:45:00,10.43,9.83,98390.0,98368.542,0.0,283.339,99987.315,11.51476645179946
2004-04-01 01:50:00,10.43,9.784,98384.0,98363.639,0.0,283.318,99987.344,11.497749570054907
2004-04-01 01:55:00,10.388,9.774,98380.0,98358.736,0.0,283.298,99987.373,11.481737051933976
2004-04-01 02:00:00,10.342,9.828,98378.0,98353.833,0.0,283.277,99987.403,11.464720310127689
2004-04-01 02:05:00,10.3,9.852,98376.0,98349.986,0.0,283.259,99987.423,11.449835329948371
2004-04-01 02:10:00,10.292,9.812,98368.0,98346.139,0.0,283.244,99987.441,11.437962710228192
2004-04-01 02:15:00,10.228,9.762,98366.0,98342.292,0.0,283.231,99987.456,11.42809698261226
2004-04-01 02:20:00,10.24,9.764,98364.0,98338.444,0.0,283.221,99987.47,11.421245438081826
2004-04-01 02:25:00,10.258,9.76,98358.0,98334.597,0.0,283.211,99987.482,11.414391372817875
2004-04-01 02:30:00,10.202,9.698,98350.0,98330.75,0.0,283.203,99987.493,11.409546008510688
2004-04-01 02:35:00,10.192,9.66,98348.0,98326.903,0.0,283.196,99987.503,11.405704611563067
2004-04-01 02:40:00,10.19,9.638,98346.0,98323.056,0.0,283.19,99987.512,11.402867215826063
2004-04-01 02:45:00,10.2,9.553999999999998,98338.0,98319.208,0.0,283.184,99987.519,11.400029045126303
2004-04-01 02:50:00,10.138,9.466,98330.0,98315.361,0.0,283.179,99987.526,11.398194906989488
2004-04-01 02:55:00,10.164,9.516,98324.0,98311.514,0.0,283.175,99987.532,11.397364849010671
2004-04-01 03:00:00,10.112,9.554,98316.0,98307.667,0.0,283.172,99987.536,11.397538091084982
2004-04-01 03:05:00,10.068,9.552,98320.0,98303.931,0.0,283.161,99987.57,11.38960500307661
2004-04-01 03:10:00,10.072,9.558,98316.0,98300.194,0.0,283.14,99987.615,11.37163280787928
2004-04-01 03:15:00,10.06,9.538,98316.0,98296.458,0.0,283.112,99987.666,11.3466301200433
2004-04-01 03:20:00,10.01,9.466,98318.0,98292.722,0.0,283.076,99987.724,11.313593445431536
2004-04-01 03:25:00,9.972,9.506,98318.0,98288.986,0.0,283.035,99987.786,11.275534814023786
