Time,THERMAL ZONE 1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],THERMAL ZONE 1::Des Sens Cool Load [W],THERMAL ZONE 1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1::Des Cool Mass Flow [kg/s]
00:05:00,1.465344E+05,0.000000E+00,4.954344E+00,0.000000E+00
00:10:00,1.465345E+05,0.000000E+00,4.954348E+00,0.000000E+00
00:15:00,1.465346E+05,0.000000E+00,4.954352E+00,0.000000E+00
00:20:00,1.465347E+05,0.000000E+00,4.954355E+00,0.000000E+00
00:25:00,1.465348E+05,0.000000E+00,4.954358E+00,0.000000E+00
00:30:00,1.465349E+05,0.000000E+00,4.954361E+00,0.000000E+00
00:35:00,1.465350E+05,0.000000E+00,4.954364E+00,0.000000E+00
00:40:00,1.465351E+05,0.000000E+00,4.954367E+00,0.000000E+00
00:45:00,1.465352E+05,0.000000E+00,4.954369E+00,0.000000E+00
00:50:00,1.465352E+05,0.000000E+00,4.954371E+00,0.000000E+00
00:55:00,1.465353E+05,0.000000E+00,4.954374E+00,0.000000E+00
01:00:00,1.465354E+05,0.000000E+00,4.954376E+00,0.000000E+00
01:05:00,1.465354E+05,0.000000E+00,4.954377E+00,0.000000E+00
01:10:00,1.465355E+05,0.000000E+00,4.954379E+00,0.000000E+00
01:15:00,1.465355E+05,0.000000E+00,4.954381E+00,0.000000E+00
01:20:00,1.465356E+05,0.000000E+00,4.954382E+00,0.000000E+00
01:25:00,1.465356E+05,0.000000E+00,4.954384E+00,0.000000E+00
01:30:00,1.465357E+05,0.000000E+00,4.954385E+00,0.000000E+00
01:35:00,1.465357E+05,0.000000E+00,4.954386E+00,0.000000E+00
01:40:00,1.465357E+05,0.000000E+00,4.954388E+00,0.000000E+00
01:45:00,1.465358E+05,0.000000E+00,4.954389E+00,0.000000E+00
01:50:00,1.465358E+05,0.000000E+00,4.954390E+00,0.000000E+00
01:55:00,1.465358E+05,0.000000E+00,4.954391E+00,0.000000E+00
02:00:00,1.465359E+05,0.000000E+00,4.954392E+00,0.000000E+00
02:05:00,1.465359E+05,0.000000E+00,4.954393E+00,0.000000E+00
02:10:00,1.465359E+05,0.000000E+00,4.954393E+00,0.000000E+00
02:15:00,1.465359E+05,0.000000E+00,4.954394E+00,0.000000E+00
