Date/Time,EAST:Surface Outside Face Temperature [C](TimeStep),NORTH:Surface Outside Face Temperature [C](TimeStep),SOUTH:Surface Outside Face Temperature [C](TimeStep),WEST:Surface Outside Face Temperature [C](TimeStep),FLOOR:Surface Outside Face Temperature [C](TimeStep),ROOF:Surface Outside Face Temperature [C](TimeStep),THERMAL ZONE 1 INTERNAL MASS:Surface Outside Face Temperature [C](TimeStep),EAST_WINDOW:Surface Outside Face Temperature [C](TimeStep),NORTH_WINDOW:Surface Outside Face Temperature [C](TimeStep),SOUTH_WINDOW:Surface Outside Face Temperature [C](TimeStep),WEST_WINDOW:Surface Outside Face Temperature [C](TimeStep) 
 06/01  00:05:00,12.302091552337632,12.363739226157493,12.298645424038606,12.43944222928921,18.0,10.450962408580564,24.00339935651443,15.259237321804903,15.261311083824808,15.279135657163124,15.276204158200471 
 06/01  00:10:00,12.56618522457256,12.620653884388144,12.559813053893992,12.691517615666656,18.0,10.768945111529655,23.987326995900254,15.59822276087425,15.600422255201238,15.615110170923629,15.612287888721937 
 06/01  00:15:00,12.873704199541388,12.922689971578912,12.866180560574989,12.989486134595992,18.0,11.087676963642288,23.972988310615342,15.939128253464332,15.941286370887724,15.953060167076103,15.950338825585732 
 06/01  00:20:00,13.21225669508321,13.256776817725866,13.204741703784347,13.320267539386217,18.0,11.483993104571814,23.960166679700233,16.281322168951988,16.283414248673353,16.29245059523572,16.289829289773422 
 06/01  00:25:00,13.573671200975191,13.614442268469643,13.567018165217874,13.675321067544152,18.0,11.880345257478313,23.948864422744908,16.624681314717577,16.626705816354615,16.63317742672234,16.630654955638306 
 06/01  00:30:00,13.952299893546948,13.989854514524518,13.947143982615806,14.048727399670526,18.0,12.326347852180234,23.938880296348163,16.969036016556856,16.97099209722404,16.97506949478168,16.97264516445955 
 06/01  00:35:00,14.344120314126393,14.378868064136933,14.340929921248813,14.436251406498846,18.0,12.77179388560102,23.93023506593656,17.314360456663564,17.316247814982432,17.31810013874258,17.315772786680327 
 06/01  00:40:00,14.746200069758794,14.778464675734078,14.745313074792174,14.834790425651954,18.0,13.24965011510687,23.92273115026856,17.660522740029023,17.662340520614464,17.662135203948196,17.659904240631136 
 06/01  00:45:00,15.156359484377822,15.186402894801285,15.158010372886986,15.242026683423187,18.0,13.726556751150248,23.91644848088102,18.007537608499092,18.009285457844612,18.00718835384754,18.005052706794288 
 06/01  00:50:00,15.572950860689145,15.60417652578134,15.574055013765697,15.656199381963106,18.0,14.22441106314754,23.9111351670791,18.355271719772986,18.353042676705684,18.357031593346676,18.351083333700785 
 06/01  00:55:00,15.994709841163093,16.02676039235116,15.995904821069454,16.075950777009986,18.0,14.721061955991805,23.90686436121703,18.70374241626041,18.699859251710336,18.705448677714116,18.69801167178406 
 06/01  01:00:00,16.420652970661454,16.45371190779359,16.421945740129573,16.500219747713142,18.0,15.230891278093777,23.903499309727763,19.052863498354498,19.04750734837262,19.05449489850224,19.045750044904707 
 06/01  01:05:00,16.67008501494603,16.702435522738732,16.671446051579466,16.746539992124568,18.0,15.507844380726304,23.901100809516414,19.064831469294518,19.05931548276476,19.066376108722125,19.057652823716296 
 06/01  01:10:00,16.851306013729403,16.88254668852592,16.85270717036447,16.924393885347072,18.0,15.742693724384868,23.89621870128033,19.074723959402036,19.069043565017182,19.076269442553553,19.06738840643692 
 06/01  01:15:00,16.99042789801245,17.020423635501654,16.991847220742628,17.060133908589577,18.0,15.976784665235575,23.890158491167455,19.083251490137854,19.077387525343113,19.08479195306984,19.075744374730675 
 06/01  01:20:00,17.1006112531955,17.129334899584492,17.1020322174294,17.167016342369124,18.0,16.136700455645677,23.88334150307968,19.09104439772534,19.08498834740942,19.092576925064122,19.083359503592305 
 06/01  01:25:00,17.190106229108228,17.21758371985917,17.19151658290632,17.25333654412525,18.0,16.29592185000641,23.875942462981968,19.098417599906156,19.09216648621708,19.099940891732274,19.09055278203084 
 06/01  01:30:00,17.264421371494986,17.290704697306047,17.26581213358486,17.324623290827752,18.0,16.40951382984716,23.868019507972917,19.105485540756604,19.099038915720428,19.106998590310127,19.097440958592358 
 06/01  01:35:00,17.3273605664342,17.352513317607706,17.32872523726707,17.38468730202733,18.0,16.52268707747244,23.859699431854622,19.11235522460163,19.105713204258336,19.113857438966477,19.104131234975853 
 06/01  01:40:00,17.381617165302952,17.4057066772673,17.382951125654994,17.436221481802676,18.0,16.60632623109748,23.851023308780377,19.119058853638307,19.112222060652698,19.120549554742297,19.110656433374913 
 06/01  01:45:00,17.429137950291373,17.452231078644015,17.430438008026766,17.481168273687317,18.0,16.689697798803206,23.84209277930426,19.125657505074628,19.1186263803761,19.12713625838296,19.11707723456084 
 06/01  01:50:00,17.47135525088495,17.493516183229932,17.472619299992832,17.520953694979802,18.0,16.75348928096541,23.83292816462403,19.13215829840732,19.124933535656623,19.1336245460775,19.123401153005716 
 06/01  01:55:00,17.509339510575764,17.530628729722075,17.51056627385971,17.556640996964283,18.0,16.817102690350495,23.823617208153806,19.138608576408785,19.131190572716264,19.14006201921336,19.129674999879 
 06/01  02:00:00,17.543902049405478,17.56437594448952,17.5482932179521,17.589034048315288,18.0,16.86748586797593,23.814160523110186,19.14500166211519,19.13739111283809,19.13891501553769,19.135892544591968 
 06/01  02:05:00,17.570963520133503,17.59059476658286,17.573388302391756,17.61397551233669,18.0,16.910679872663877,23.804602837877763,19.14429857226162,19.13670775383241,19.144812154451984,19.135225696443854 
 06/01  02:10:00,17.593851154592766,17.612669517715602,17.59576536478391,17.634839975930596,18.0,16.943295299222992,23.794918458226398,19.142671446331292,19.13508787307154,19.14375617253188,19.133619724459436 
 06/01  02:15:00,17.613642231399947,17.6316869286339,17.6152785419292,17.65270960342553,18.0,16.97585590315264,23.785160739074165,19.14070595466751,19.13313118187341,19.14197925715723,19.13167720361696 
 06/01  02:20:00,17.63099282626981,17.648305205576428,17.63244062548497,17.668238943834453,18.0,16.999705620856915,23.77533365906364,19.13858783228892,19.131022756395396,19.13992881375134,19.129583076772747 
 06/01  02:25:00,17.646368101599922,17.662989156791653,17.647678021497594,17.68188957782545,18.0,17.02351310120913,23.765502159199098,19.136425512772803,19.12887019857334,19.137786630092705,19.127444588448384 
