cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[3.048],TempProf_cur[6.096],TempProf_cur[9.144],TempProf_cur[12.192],TempProf_cur[15.24],TempProf_cur[18.288],TempProf_cur[21.336],TempProf_cur[24.384],TempProf_cur[27.432],TempProf_cur[30.48],TempProf_cur[33.528],TempProf_cur[36.576],TempProf_cur[39.624],TempProf_cur[42.672],TempProf_cur[45.72],TempProf_cur[48.768],TempProf_cur[51.816],TempProf_cur[54.864],TempProf_cur[57.912],TempProf_cur[60.96],PresProf_cur[3.048],PresProf_cur[6.096],PresProf_cur[9.144],PresProf_cur[12.192],PresProf_cur[15.24],PresProf_cur[18.288],PresProf_cur[21.336],PresProf_cur[24.384],PresProf_cur[27.432],PresProf_cur[30.48],PresProf_cur[33.528],PresProf_cur[36.576],PresProf_cur[39.624],PresProf_cur[42.672],PresProf_cur[45.72],PresProf_cur[48.768],PresProf_cur[51.816],PresProf_cur[54.864],PresProf_cur[57.912],PresProf_cur[60.96],
2006-06-01 00:50:00,295.437,292.583,0.000,295.989,293.997,283.710,291.333,99200.000,295.424,295.310,295.244,295.199,295.170,295.151,295.140,295.135,295.137,295.146,295.165,295.197,295.248,295.324,295.436,295.599,295.832,296.161,296.622,297.501,100882.151,100847.127,100812.102,100777.080,100742.061,100707.049,100672.043,100637.045,100602.056,100567.076,100532.107,100497.149,100462.204,100427.276,100392.367,100357.483,100322.631,100287.820,100253.064,100218.386,
2006-06-01 00:55:00,295.425,292.550,0.000,296.118,294.127,284.161,291.342,99200.000,295.431,295.315,295.245,295.197,295.164,295.142,295.129,295.124,295.125,295.134,295.153,295.186,295.237,295.314,295.426,295.586,295.814,296.133,296.577,297.420,100882.404,100847.382,100812.357,100777.334,100742.315,100707.302,100672.295,100637.296,100602.305,100567.323,100532.352,100497.393,100462.447,100427.517,100392.607,100357.722,100322.868,100288.055,100253.294,100218.608,
2006-06-01 01:00:00,295.440,292.533,0.000,296.175,294.188,284.460,291.350,99200.000,295.460,295.344,295.272,295.222,295.187,295.164,295.149,295.142,295.143,295.152,295.172,295.204,295.255,295.331,295.441,295.597,295.818,296.125,296.551,297.356,100882.588,100847.568,100812.547,100777.527,100742.511,100707.500,100672.496,100637.499,100602.510,100567.530,100532.561,100497.604,100462.660,100427.733,100392.824,100357.941,100323.087,100288.274,100253.511,100218.821,
2006-06-01 01:05:00,295.462,292.518,0.000,296.224,294.241,284.753,291.350,99200.000,295.491,295.377,295.305,295.254,295.218,295.193,295.178,295.170,295.170,295.179,295.198,295.230,295.280,295.355,295.462,295.613,295.826,296.122,296.530,297.301,100882.748,100847.732,100812.715,100777.698,100742.686,100707.678,100672.677,100637.684,100602.698,100567.722,100532.756,100497.801,100462.861,100427.936,100393.030,100358.149,100323.297,100288.483,100253.720,100219.025,
2006-06-01 01:10:00,295.486,292.513,0.000,296.273,294.295,285.046,291.350,99200.000,295.522,295.411,295.340,295.289,295.252,295.227,295.211,295.203,295.203,295.211,295.229,295.261,295.310,295.382,295.485,295.632,295.837,296.121,296.514,297.255,100882.891,100847.879,100812.865,100777.853,100742.845,100707.842,100672.844,100637.854,100602.873,100567.900,100532.938,100497.987,100463.050,100428.128,100393.226,100358.346,100323.496,100288.683,100253.919,100219.221,
2006-06-01 01:15:00,295.514,292.498,0.000,296.303,294.330,285.290,291.350,99200.000,295.554,295.446,295.376,295.326,295.290,295.264,295.248,295.239,295.239,295.246,295.264,295.295,295.342,295.412,295.512,295.653,295.850,296.124,296.502,297.215,100883.021,100848.013,100813.004,100777.996,100742.992,100707.993,100673.000,100638.014,100603.037,100568.069,100533.110,100498.164,100463.230,100428.312,100393.413,100358.536,100323.688,100288.876,100254.111,100219.410,
2006-06-01 01:20:00,295.540,292.493,0.000,296.333,294.366,285.535,291.350,99200.000,295.582,295.477,295.410,295.361,295.325,295.300,295.284,295.275,295.274,295.281,295.298,295.327,295.373,295.440,295.537,295.673,295.863,296.126,296.491,297.179,100883.147,100848.143,100813.137,100778.134,100743.134,100708.139,100673.150,100638.169,100603.195,100568.231,100533.277,100498.334,100463.404,100428.490,100393.594,100358.720,100323.873,100289.062,100254.296,100219.593,
2006-06-01 01:25:00,295.565,292.480,0.000,296.352,294.390,285.742,291.350,99200.000,295.608,295.507,295.442,295.395,295.360,295.335,295.318,295.309,295.308,295.315,295.331,295.359,295.403,295.468,295.560,295.692,295.875,296.130,296.481,297.148,100883.270,100848.269,100813.267,100778.267,100743.271,100708.281,100673.296,100638.319,100603.349,100568.389,100533.439,100498.500,100463.573,100428.662,100393.769,100358.898,100324.053,100289.243,100254.477,100219.771,
2006-06-01 01:30:00,295.588,292.475,0.000,296.372,294.416,285.949,291.350,99200.000,295.631,295.533,295.470,295.424,295.391,295.366,295.350,295.341,295.339,295.345,295.361,295.388,295.430,295.492,295.582,295.708,295.886,296.132,296.472,297.119,100883.393,100848.395,100813.397,100778.400,100743.408,100708.421,100673.440,100638.466,100603.500,100568.544,100533.597,100498.661,100463.738,100428.830,100393.940,100359.070,100324.228,100289.418,100254.651,100219.944,
2006-06-01 01:35:00,295.609,292.463,0.000,296.385,294.434,286.127,291.350,99200.000,295.651,295.556,295.496,295.452,295.419,295.395,295.379,295.370,295.368,295.374,295.388,295.414,295.455,295.515,295.601,295.724,295.895,296.133,296.464,297.092,100883.517,100848.521,100813.526,100778.532,100743.543,100708.559,100673.582,100638.612,100603.649,100568.696,100533.753,100498.820,100463.900,100428.995,100394.107,100359.239,100324.398,100289.589,100254.822,100220.113,
