Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),THERMAL ZONE 1:Zone Outdoor Air Drybulb Temperature [C](Hourly),SURFACE 2:Surface Outside Face Temperature [C](TimeStep),SURFACE 4:Surface Outside Face Temperature [C](TimeStep),SURFACE 5:Surface Outside Face Temperature [C](TimeStep),SURFACE 6:Surface Outside Face Temperature [C](TimeStep),SURFACE 1:Surface Outside Face Temperature [C](TimeStep),SURFACE 3:Surface Outside Face Temperature [C](TimeStep),SUB SURFACE 2:Surface Outside Face Temperature [C](TimeStep),SUB SURFACE 4:Surface Outside Face Temperature [C](TimeStep),SUB SURFACE 1:Surface Outside Face Temperature [C](TimeStep) 
 06/01  00:05:00,,,17.10981354309116,17.794288357895603,17.803948910705014,20.510656430744604,18.0,11.53274160812557,14.38775176440538,14.379830405481357,14.29714635095604 
 06/01  00:10:00,,,17.18747659744457,17.88536957591423,17.873868846973767,20.537771514399317,18.0,11.877889907740528,14.736407190033447,14.731003391127388,14.647472109158173 
 06/01  00:15:00,,,17.266021569093315,17.97784763966861,17.9454665342683,20.56668242833665,18.0,12.223839846686515,15.088244022407252,15.08355103286408,15.001328537210782 
 06/01  00:20:00,,,17.379555901249987,18.096824323462883,18.055474959031063,20.637189800926034,18.0,12.633662203374543,15.44227788169485,15.438141565880471,15.357522908044757 
 06/01  00:25:00,,,17.493827236118875,18.216546392894685,18.166913347600147,20.709208335663586,18.0,13.043271292867344,15.799418327814408,15.795808041489067,15.71681589876971 
 06/01  00:30:00,,,17.63090883062504,18.355530686711553,18.30323549909094,20.808285984840158,18.0,13.4865523806462,16.158608548440895,16.155539852922516,16.078238120439494 
 06/01  00:35:00,,,17.76872122582544,18.495243707580496,18.440920886163017,20.908840419038757,18.0,13.92901003451912,16.520601320987453,16.518058038848494,16.442426296020585 
 06/01  00:40:00,,,17.923610323500775,18.650113740205796,18.5972494501739,21.029738494041606,18.0,14.389623837443622,16.884241158193163,16.882238872464427,16.808334091455322 
 06/01  00:45:00,,,18.07920202148521,18.805684763167285,18.754864600158875,21.152049141593036,18.0,14.849106283213438,17.2503509598547,17.24887582518204,17.176661153385112 
 06/01  00:50:00,,,18.20491007328612,18.97387476216516,18.9998362252975,21.29094197766102,18.0,15.318109578179298,17.55513038246204,17.616936719272474,17.609097072576787 
 06/01  00:55:00,,,18.382770977606047,19.142734976182858,19.166734183983227,21.43117838329279,18.0,15.785841788635725,17.92477388111587,17.9871930795058,17.980415951031603 
 06/01  01:00:00,15.900000000000004,15.71163094777276,18.565337560711896,19.322492636053916,19.359987367642592,21.58559154841356,18.0,16.25818679252153,18.297653252053692,18.35866599203348,18.351636830287646 
 06/01  01:05:00,,,18.637139531204593,19.40300337848193,19.453974688440155,21.635735311333125,18.0,16.456543790676097,18.33342483909132,18.394605206395454,18.387124960448773 
 06/01  01:10:00,,,18.70255062335765,19.472328124971927,19.52993318562816,21.67681798694657,18.0,16.612992955533777,18.35230583233522,18.414314067991995,18.40686621468751 
 06/01  01:15:00,,,18.767923685972047,19.541644488998397,19.605893441663053,21.717906279486826,18.0,16.768852939918734,18.36919847107697,18.432510004134997,18.425092020713123 
