cur_datetime,canTemp,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[2.6],TempProf_cur[13.9],TempProf_cur[17.5],TempProf_cur[21.5],TempProf_cur[25.5],TempProf_cur[31.2],PresProf_cur[2.6],PresProf_cur[13.9],PresProf_cur[17.5],PresProf_cur[21.5],PresProf_cur[25.5],PresProf_cur[31.2],
2002-06-10 03:05:00,287.666,0.000,294.301,294.301,289.961,286.217,97582.500,288.080,287.206,286.882,286.744,286.654,286.545,98058.156,97930.018,97883.356,97836.675,97789.992,97719.972,
2002-06-10 03:10:00,287.735,0.000,294.239,294.239,289.870,286.183,97585.000,288.208,287.220,286.876,286.732,286.638,286.526,98058.155,97930.043,97883.382,97836.699,97790.013,97719.989,
2002-06-10 03:15:00,287.589,0.000,294.180,294.180,289.777,286.150,97587.500,287.997,287.137,286.819,286.683,286.595,286.489,98058.275,97930.103,97883.430,97836.739,97790.046,97720.012,
2002-06-10 03:20:00,287.662,0.000,294.118,294.118,289.687,286.117,97590.000,288.131,287.153,286.813,286.672,286.580,286.469,98058.272,97930.128,97883.455,97836.762,97790.067,97720.029,
2002-06-10 03:25:00,287.517,0.000,294.059,294.059,289.595,286.083,97592.500,287.920,287.071,286.757,286.624,286.537,286.432,98058.390,97930.187,97883.504,97836.802,97790.100,97720.052,
2002-06-10 03:30:00,287.594,0.000,293.998,293.998,289.506,286.050,97595.000,288.059,287.089,286.753,286.613,286.523,286.413,98058.386,97930.211,97883.529,97836.826,97790.121,97720.069,
2002-06-10 03:35:00,287.447,0.000,293.940,293.940,289.416,286.017,97597.500,287.846,287.006,286.696,286.565,286.480,286.376,98058.505,97930.271,97883.577,97836.866,97790.154,97720.092,
2002-06-10 03:40:00,287.526,0.000,293.880,293.880,289.328,285.983,97600.000,287.988,287.025,286.692,286.554,286.465,286.357,98058.499,97930.294,97883.602,97836.889,97790.175,97720.110,
2002-06-10 03:45:00,287.377,0.000,293.823,293.823,289.240,285.950,97602.500,287.771,286.941,286.635,286.506,286.422,286.320,98058.620,97930.355,97883.651,97836.930,97790.208,97720.133,
2002-06-10 03:50:00,287.458,0.000,293.764,293.764,289.154,285.917,97605.000,287.916,286.961,286.631,286.496,286.408,286.301,98058.614,97930.378,97883.675,97836.953,97790.230,97720.150,
2002-06-10 03:55:00,287.307,0.000,293.708,293.708,289.067,285.883,97607.500,287.697,286.876,286.573,286.447,286.364,286.263,98058.736,97930.439,97883.725,97836.994,97790.263,97720.173,
2002-06-10 04:00:00,287.390,0.000,293.649,293.649,288.984,285.850,97610.000,287.845,286.897,286.571,286.437,286.350,286.245,98058.728,97930.462,97883.749,97837.017,97790.284,97720.190,
2002-06-10 04:05:00,287.238,0.000,293.594,293.594,288.899,285.825,97615.833,287.623,286.811,286.513,286.388,286.306,286.207,98058.850,97930.523,97883.798,97837.058,97790.317,97720.213,
2002-06-10 04:10:00,287.326,0.000,293.537,293.537,288.818,285.800,97621.667,287.778,286.836,286.512,286.380,286.294,286.190,98058.838,97930.544,97883.821,97837.079,97790.337,97720.230,
2002-06-10 04:15:00,287.171,0.000,293.483,293.483,288.736,285.775,97627.500,287.551,286.750,286.455,286.332,286.251,286.153,98058.961,97930.603,97883.869,97837.119,97790.369,97720.252,
2002-06-10 04:20:00,287.252,0.000,293.427,293.427,288.658,285.750,97633.333,287.698,286.770,286.451,286.320,286.235,286.132,98058.958,97930.631,97883.897,97837.146,97790.394,97720.272,
2002-06-10 04:25:00,287.096,0.000,293.386,293.375,288.593,285.725,97639.167,287.470,286.681,286.391,286.269,286.190,286.093,98059.085,97930.694,97883.949,97837.188,97790.428,97720.296,
2002-06-10 04:30:00,287.179,0.000,293.338,293.321,288.532,285.700,97645.000,287.619,286.703,286.389,286.260,286.176,286.074,98059.077,97930.717,97883.973,97837.212,97790.450,97720.314,
2002-06-10 04:35:00,287.020,0.000,293.289,293.271,288.472,285.675,97650.833,287.388,286.614,286.329,286.209,286.131,286.035,98059.205,97930.780,97884.025,97837.254,97790.485,97720.338,
2002-06-10 04:40:00,287.104,0.000,293.233,293.217,288.415,285.650,97656.667,287.537,286.636,286.327,286.200,286.117,286.016,98059.197,97930.804,97884.050,97837.278,97790.507,97720.356,
2002-06-10 04:45:00,286.944,0.000,293.181,293.167,288.359,285.625,97662.500,287.304,286.545,286.266,286.149,286.071,285.976,98059.327,97930.868,97884.102,97837.321,97790.542,97720.381,
2002-06-10 04:50:00,287.028,0.000,293.132,293.113,288.306,285.600,97668.333,287.454,286.568,286.265,286.139,286.057,285.957,98059.319,97930.892,97884.127,97837.345,97790.564,97720.399,
2002-06-10 04:55:00,286.867,0.000,293.090,293.063,288.253,285.575,97674.167,287.220,286.477,286.203,286.087,286.011,285.917,98059.450,97930.957,97884.180,97837.389,97790.599,97720.424,
2002-06-10 05:00:00,286.952,0.000,293.046,293.009,288.205,285.550,97680.000,287.371,286.500,286.202,286.078,285.997,285.898,98059.441,97930.980,97884.205,97837.413,97790.622,97720.442,
2002-06-10 05:05:00,286.795,0.000,293.008,292.960,288.155,285.558,97685.833,287.141,286.414,286.146,286.033,285.958,285.865,98059.558,97931.033,97884.247,97837.447,97790.649,97720.460,
2002-06-10 05:10:00,286.893,0.000,292.980,292.910,288.127,285.567,97691.667,287.305,286.450,286.157,286.036,285.956,285.858,98059.527,97931.040,97884.257,97837.458,97790.660,97720.470,
2002-06-10 05:15:00,286.744,0.000,292.966,292.868,288.114,285.575,97697.500,287.083,286.370,286.107,285.994,285.920,285.828,98059.637,97931.089,97884.296,97837.490,97790.685,97720.487,
2002-06-10 05:20:00,286.848,0.000,292.959,292.824,288.119,285.583,97703.333,287.257,286.410,286.120,285.999,285.919,285.821,98059.601,97931.094,97884.305,97837.500,97790.696,97720.497,
2002-06-10 05:25:00,286.698,0.000,292.965,292.788,288.135,285.592,97709.167,287.033,286.330,286.069,285.957,285.883,285.791,98059.712,97931.144,97884.344,97837.532,97790.721,97720.514,
2002-06-10 05:30:00,286.805,0.000,292.976,292.750,288.166,285.600,97715.000,287.211,286.370,286.081,285.959,285.879,285.781,98059.680,97931.154,97884.358,97837.547,97790.736,97720.528,
2002-06-10 05:35:00,287.229,0.000,292.998,292.719,288.205,285.608,97720.833,287.712,286.694,286.283,286.099,285.981,285.839,98059.374,97931.036,97884.283,97837.499,97790.708,97720.518,
2002-06-10 05:40:00,287.196,0.000,292.988,292.652,288.205,285.617,97726.667,287.643,286.725,286.365,286.175,286.044,285.879,98059.338,97930.984,97884.242,97837.471,97790.691,97720.514,
2002-06-10 05:45:00,287.263,0.000,293.059,292.660,288.233,285.625,97732.500,287.803,286.693,286.325,286.149,286.025,285.864,98059.347,97931.018,97884.268,97837.492,97790.709,97720.529,
2002-06-10 05:50:00,287.065,0.000,293.083,292.620,288.259,285.633,97738.333,287.506,286.599,286.264,286.096,285.979,285.825,98059.493,97931.082,97884.320,97837.535,97790.743,97720.553,
2002-06-10 05:55:00,287.236,0.000,293.158,292.625,288.291,285.642,97744.167,287.814,286.638,286.267,286.088,285.964,285.805,98059.450,97931.104,97884.345,97837.560,97790.766,97720.571,
2002-06-10 06:00:00,287.065,0.000,293.183,292.580,288.317,285.650,97750.000,287.520,286.587,286.242,286.064,285.941,285.781,98059.555,97931.143,97884.379,97837.589,97790.792,97720.591,
2002-06-10 06:05:00,287.244,0.000,293.262,292.583,288.363,285.617,97757.500,287.844,286.629,286.248,286.061,285.931,285.762,98059.510,97931.165,97884.404,97837.615,97790.816,97720.612,
2002-06-10 06:10:00,287.029,0.000,293.279,292.541,288.384,285.583,97765.000,287.492,286.541,286.192,286.012,285.886,285.721,98059.660,97931.232,97884.460,97837.662,97790.856,97720.641,
2002-06-10 06:15:00,287.189,0.000,293.330,292.537,288.402,285.550,97772.500,287.794,286.570,286.188,285.997,285.866,285.695,98059.635,97931.265,97884.495,97837.695,97790.886,97720.665,
2002-06-10 06:20:00,286.982,0.000,293.329,292.493,288.400,285.517,97780.000,287.458,286.483,286.130,285.947,285.819,285.651,98059.784,97931.334,97884.552,97837.744,97790.926,97720.694,
2002-06-10 06:25:00,287.136,0.000,293.361,292.482,288.400,285.483,97787.500,287.746,286.513,286.127,285.934,285.800,285.626,98059.760,97931.366,97884.586,97837.775,97790.956,97720.718,
2002-06-10 06:30:00,286.935,0.000,293.350,292.438,288.385,285.450,97795.000,287.421,286.426,286.068,285.882,285.752,285.582,98059.908,97931.435,97884.644,97837.825,97790.997,97720.748,
2002-06-10 06:35:00,287.080,0.000,293.369,292.422,288.375,285.417,97802.500,287.693,286.454,286.065,285.869,285.733,285.556,98059.887,97931.467,97884.677,97837.857,97791.026,97720.772,
2002-06-10 06:40:00,286.883,0.000,293.352,292.378,288.351,285.383,97810.000,287.379,286.364,286.003,285.815,285.683,285.512,98060.036,97931.539,97884.737,97837.907,97791.068,97720.802,
2002-06-10 06:45:00,287.015,0.000,293.361,292.358,288.333,285.350,97817.500,287.630,286.388,285.997,285.800,285.663,285.485,98060.021,97931.572,97884.771,97837.940,97791.098,97720.826,
2002-06-10 06:50:00,286.824,0.000,293.340,292.314,288.304,285.317,97825.000,287.328,286.299,285.935,285.745,285.613,285.440,98060.168,97931.644,97884.831,97837.990,97791.139,97720.856,
