cur_datetime,canTemp,sensWaste,coolConsump[J],heatConsump[J],ElecTotal[J],wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:05:00,292.810,0.051,0.000,0.000,2413257.665,299.829,299.829,298.677,291.258,99200.000,291.883,99386.354,
2004-06-01 00:10:00,291.899,0.051,0.000,0.000,2413257.665,299.472,299.472,289.518,291.267,99200.000,291.580,99386.438,
2004-06-01 00:15:00,291.862,0.051,0.000,0.000,2413257.665,298.926,298.926,289.674,291.275,99200.000,291.567,99386.442,
2004-06-01 00:20:00,291.776,0.051,0.000,0.000,2413257.665,298.473,298.473,289.708,291.283,99200.000,291.559,99386.443,
2004-06-01 00:25:00,291.908,0.051,0.000,0.000,2413257.665,298.086,298.086,289.746,291.292,99200.000,291.586,99386.434,
2004-06-01 00:30:00,291.756,0.051,0.000,0.000,2413257.665,297.810,297.810,289.793,291.300,99200.000,291.565,99386.438,
2004-06-01 00:35:00,291.866,0.051,0.000,0.000,2413257.665,297.555,297.555,289.887,291.308,99200.000,291.585,99386.431,
2004-06-01 00:40:00,291.703,0.051,0.000,0.000,2413257.665,297.373,297.373,289.890,291.317,99200.000,291.559,99386.437,
2004-06-01 00:45:00,291.841,0.051,0.000,0.000,2413257.665,297.181,297.181,289.964,291.325,99200.000,291.585,99386.428,
2004-06-01 00:50:00,291.680,0.051,0.000,0.000,2413257.665,297.051,297.051,289.940,291.333,99200.000,291.560,99386.433,
2004-06-01 00:55:00,291.841,0.051,0.000,0.000,2413257.665,296.896,296.896,290.017,291.342,99200.000,291.592,99386.423,
2004-06-01 01:00:00,291.669,0.051,0.000,0.000,2413257.665,296.802,296.802,289.994,291.350,99200.000,291.565,99386.428,
2004-06-01 01:05:00,291.840,0.051,0.000,0.000,2413257.665,296.669,296.669,290.053,291.350,99200.000,291.595,99386.420,
2004-06-01 01:10:00,291.658,0.051,0.000,0.000,2413257.665,296.598,296.598,290.036,291.350,99200.000,291.562,99386.430,
2004-06-01 01:15:00,291.834,0.051,0.000,0.000,2413257.665,296.477,296.477,290.075,291.350,99200.000,291.592,99386.422,
2004-06-01 01:20:00,291.649,0.051,0.000,0.000,2413257.665,296.423,296.423,290.005,291.350,99200.000,291.558,99386.431,
2004-06-01 01:25:00,291.825,0.051,0.000,0.000,2413257.665,296.310,296.310,290.050,291.350,99200.000,291.588,99386.424,
2004-06-01 01:30:00,291.639,0.051,0.000,0.000,2413257.665,296.267,296.267,289.956,291.350,99200.000,291.554,99386.433,
2004-06-01 01:35:00,291.812,0.051,0.000,0.000,2413257.665,296.160,296.160,289.987,291.350,99200.000,291.583,99386.426,
