cur_datetime,canTemp,sensWaste,coolConsump[J],heatConsump[J],ElecTotal[J],wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:05:00,293.029,0.051,0.000,0.000,2413257.665,299.847,299.847,298.677,291.258,99200.000,291.913,99386.346,
2004-06-01 00:10:00,291.871,0.051,0.000,0.000,2413257.665,299.507,299.507,289.518,291.267,99200.000,291.579,99386.438,
2004-06-01 00:15:00,292.401,0.051,0.000,0.000,2413257.665,298.951,298.951,289.736,291.275,99200.000,291.664,99386.415,
2004-06-01 00:20:00,291.969,0.051,0.000,0.000,2413257.665,298.523,298.523,289.757,291.283,99200.000,291.619,99386.425,
2004-06-01 00:25:00,293.000,0.051,0.000,0.000,2413257.665,298.109,298.109,289.920,291.292,99200.000,291.779,99386.382,
2004-06-01 00:30:00,292.073,0.051,0.000,0.000,2413257.665,297.893,297.893,290.004,291.300,99200.000,291.679,99386.404,
2004-06-01 00:35:00,292.837,0.051,0.000,0.000,2413257.665,297.615,297.615,290.544,291.308,99200.000,291.796,99386.372,
2004-06-01 00:40:00,291.891,0.051,0.000,0.000,2413257.665,297.500,297.500,290.356,291.317,99200.000,291.646,99386.410,
2004-06-01 00:45:00,292.790,0.051,0.000,0.000,2413257.665,297.257,297.257,290.735,291.325,99200.000,291.785,99386.373,
2004-06-01 00:50:00,291.809,0.051,0.000,0.000,2413257.665,297.186,297.186,290.329,291.333,99200.000,291.634,99386.410,
2004-06-01 00:55:00,292.819,0.051,0.000,0.000,2413257.665,296.964,296.964,290.757,291.342,99200.000,291.797,99386.366,
2004-06-01 01:00:00,291.765,0.051,0.000,0.000,2413257.665,296.929,296.929,290.357,291.350,99200.000,291.636,99386.406,
2004-06-01 01:05:00,292.835,0.051,0.000,0.000,2413257.665,296.725,296.725,290.803,291.350,99200.000,291.805,99386.362,
2004-06-01 01:10:00,291.713,0.051,0.000,0.000,2413257.665,296.716,296.716,290.388,291.350,99200.000,291.627,99386.409,
2004-06-01 01:15:00,292.838,0.051,0.000,0.000,2413257.665,296.521,296.521,290.838,291.350,99200.000,291.804,99386.363,
2004-06-01 01:20:00,291.659,0.051,0.000,0.000,2413257.665,296.530,296.530,290.347,291.350,99200.000,291.616,99386.413,
2004-06-01 01:25:00,292.837,0.051,0.000,0.000,2413257.665,296.340,296.340,290.827,291.350,99200.000,291.801,99386.365,
2004-06-01 01:30:00,291.606,0.051,0.000,0.000,2413257.665,296.361,296.361,290.291,291.350,99200.000,291.604,99386.417,
2004-06-01 01:35:00,292.830,0.051,0.000,0.000,2413257.665,296.173,296.173,290.770,291.350,99200.000,291.796,99386.367,
2004-06-01 01:40:00,291.559,0.051,0.000,0.000,2413257.665,296.206,296.206,290.249,291.350,99200.000,291.594,99386.420,
2004-06-01 01:45:00,292.817,0.051,0.000,0.000,2413257.665,296.021,296.021,290.716,291.350,99200.000,291.791,99386.369,
2004-06-01 01:50:00,291.511,0.051,0.000,0.000,2413257.665,296.062,296.062,290.178,291.350,99200.000,291.582,99386.424,
2004-06-01 01:55:00,292.800,0.051,0.000,0.000,2413257.665,295.878,295.878,290.682,291.350,99200.000,291.785,99386.371,
2004-06-01 02:00:00,291.467,0.051,0.000,0.000,2413257.665,295.927,295.927,290.120,291.350,99200.000,291.571,99386.427,
2004-06-01 02:05:00,292.779,0.051,0.000,0.000,2413257.665,295.745,295.745,290.615,291.358,99208.333,291.782,99386.370,
2004-06-01 02:10:00,291.433,0.051,0.000,0.000,2413257.665,295.801,295.801,290.079,291.367,99216.667,291.570,99386.424,
2004-06-01 02:15:00,292.764,0.051,0.000,0.000,2413257.665,295.622,295.622,290.597,291.375,99225.000,291.787,99386.365,
2004-06-01 02:20:00,291.405,0.051,0.000,0.000,2413257.665,295.684,295.684,290.033,291.383,99233.333,291.572,99386.420,
2004-06-01 02:25:00,292.742,0.051,0.000,0.000,2413257.665,295.508,295.508,290.535,291.392,99241.667,291.791,99386.360,
2004-06-01 02:30:00,291.378,0.051,0.000,0.000,2413257.665,295.575,295.575,289.992,291.400,99250.000,291.573,99386.415,
2004-06-01 02:35:00,292.717,0.051,0.000,0.000,2413257.665,295.401,295.401,290.480,291.408,99258.333,291.793,99386.355,
2004-06-01 02:40:00,291.351,0.051,0.000,0.000,2413257.665,295.471,295.471,289.926,291.417,99266.667,291.574,99386.411,
2004-06-01 02:45:00,292.694,0.051,0.000,0.000,2413257.665,295.300,295.300,290.445,291.425,99275.000,291.797,99386.350,
2004-06-01 02:50:00,291.333,0.051,0.000,0.000,2413257.665,295.374,295.374,289.902,291.433,99283.333,291.577,99386.406,
2004-06-01 02:55:00,292.668,0.051,0.000,0.000,2413257.665,295.206,295.206,290.394,291.442,99291.667,291.800,99386.345,
2004-06-01 03:00:00,291.314,0.051,0.000,0.000,2413257.665,295.282,295.282,289.839,291.450,99300.000,291.579,99386.401,
2004-06-01 03:05:00,292.614,0.051,0.000,0.000,2413257.665,295.116,295.116,290.357,291.408,99308.333,291.765,99386.368,
2004-06-01 03:10:00,291.254,0.051,0.000,0.000,2413257.665,295.196,295.196,289.790,291.367,99316.667,291.508,99386.453,
2004-06-01 03:15:00,292.510,0.051,0.000,0.000,2413257.665,295.034,295.034,290.284,291.325,99325.000,291.670,99386.428,
2004-06-01 03:20:00,291.180,0.051,0.000,0.000,2413257.665,295.114,295.114,289.749,291.283,99333.333,291.421,99386.510,
2004-06-01 03:25:00,292.409,0.051,0.000,0.000,2413257.665,294.952,294.952,290.217,291.242,99341.667,291.576,99386.487,
2004-06-01 03:30:00,291.115,0.051,0.000,0.000,2413257.665,295.033,295.033,289.701,291.200,99350.000,291.336,99386.566,
2004-06-01 03:35:00,292.303,0.051,0.000,0.000,2413257.665,294.874,294.874,290.115,291.158,99358.333,291.481,99386.546,
2004-06-01 03:40:00,291.049,0.051,0.000,0.000,2413257.665,294.954,294.954,289.665,291.117,99366.667,291.251,99386.623,
2004-06-01 03:45:00,292.192,0.051,0.000,0.000,2413257.665,294.799,294.799,290.025,291.075,99375.000,291.386,99386.606,
2004-06-01 03:50:00,290.986,0.051,0.000,0.000,2413257.665,294.878,294.878,289.605,291.033,99383.333,291.166,99386.680,
2004-06-01 03:55:00,292.081,0.051,0.000,0.000,2413257.665,294.727,294.727,289.954,290.992,99391.667,291.291,99386.666,
2004-06-01 04:00:00,290.923,0.051,0.000,0.000,2413257.665,294.806,294.806,289.557,290.950,99400.000,291.081,99386.737,
2004-06-01 04:05:00,291.902,0.051,0.000,0.000,2413257.665,294.658,294.658,289.860,290.808,99400.000,291.106,99386.792,
2004-06-01 04:10:00,290.691,0.051,0.000,0.000,2413257.665,294.756,294.738,289.552,290.667,99400.000,290.806,99386.930,
2004-06-01 04:15:00,291.620,0.051,0.000,0.000,2413257.665,294.626,294.595,289.831,290.525,99400.000,290.796,99386.997,
2004-06-01 04:20:00,290.343,0.051,0.000,0.000,2413257.665,294.711,294.669,289.351,290.383,99400.000,290.474,99387.140,
2004-06-01 04:25:00,291.470,0.051,0.000,0.000,2413257.665,294.566,294.516,289.681,290.242,99400.000,290.518,99387.189,
2004-06-01 04:30:00,290.041,0.051,0.000,0.000,2413257.665,294.639,294.580,288.974,290.100,99400.000,290.168,99387.340,
2004-06-01 04:35:00,291.858,0.051,0.000,0.000,2413257.665,294.492,294.424,289.661,289.958,99400.000,290.339,99387.354,
2004-06-01 04:40:00,289.624,0.051,0.000,0.000,2413257.665,294.528,294.451,287.732,289.817,99400.000,289.781,99387.561,
2004-06-01 04:45:00,291.798,0.051,0.000,0.000,2413257.665,294.403,294.319,292.622,289.675,99400.000,290.245,99387.488,
2004-06-01 04:50:00,288.517,0.051,0.000,0.000,2413257.665,294.413,294.321,279.973,289.533,99400.000,289.090,99387.874,
2004-06-01 04:55:00,292.991,0.082,0.000,0.000,2681397.405,294.282,294.182,300.798,289.392,99400.000,290.580,99387.508,
2004-06-01 05:00:00,286.370,0.082,0.000,0.000,2681397.405,294.234,294.128,246.798,289.250,99400.000,287.916,99388.322,
2004-06-01 05:05:00,291.932,0.082,0.000,0.000,2681397.405,294.183,294.072,291.487,289.208,99408.333,289.718,99387.845,
2004-06-01 05:10:00,287.109,0.082,0.000,0.000,2681397.405,294.015,293.903,273.929,289.167,99416.667,288.167,99388.313,
2004-06-01 05:15:00,294.248,0.082,0.000,0.000,2681397.405,293.896,293.786,306.829,289.125,99425.000,290.889,99387.551,
2004-06-01 05:20:00,285.748,0.082,0.000,0.000,2681397.405,293.839,293.730,240.365,289.083,99433.333,287.513,99388.546,
2004-06-01 05:25:00,292.151,0.082,0.000,0.000,2681397.405,293.894,293.789,292.116,289.042,99441.667,289.565,99387.993,
2004-06-01 05:30:00,286.367,0.082,0.000,0.000,2681397.405,293.756,293.655,270.287,289.000,99450.000,287.699,99388.552,
2004-06-01 05:35:00,294.788,2.614,298292.147,0.000,2750195.426,293.650,293.552,308.192,288.958,99458.333,290.886,99387.656,
2004-06-01 05:40:00,285.179,0.082,0.000,0.000,2681397.405,293.606,293.513,238.396,288.917,99466.667,287.134,99388.759,
2004-06-01 05:45:00,292.523,0.082,0.000,0.000,2681397.405,293.695,293.606,293.566,288.875,99475.000,289.496,99388.114,
2004-06-01 05:50:00,285.443,0.082,0.000,0.000,2681397.405,293.568,293.484,263.684,288.833,99483.333,287.144,99388.817,
2004-06-01 05:55:00,295.270,60.181,7079892.667,0.000,4314301.943,293.477,293.396,309.494,288.792,99491.667,290.845,99387.770,
2004-06-01 06:00:00,284.737,0.071,0.000,0.000,2681397.405,293.414,293.338,235.798,288.750,99500.000,286.814,99388.953,
2004-06-01 06:05:00,292.727,47.048,5533054.794,0.000,3957539.672,293.529,293.457,293.988,288.842,99508.333,289.381,99388.234,
2004-06-01 06:10:00,285.199,0.071,0.000,0.000,2681397.405,293.554,293.364,260.903,288.933,99516.667,286.949,99388.947,
2004-06-01 06:15:00,295.257,64.497,7588152.470,0.000,4431526.847,293.702,293.314,309.436,289.025,99525.000,290.667,99387.884,
2004-06-01 06:20:00,285.211,0.071,0.000,0.000,2681397.405,293.966,293.330,237.484,289.117,99533.333,286.983,99388.953,
2004-06-01 06:25:00,291.981,48.863,5746805.164,0.000,4006839.000,294.402,293.487,289.334,289.208,99541.667,288.902,99388.428,
2004-06-01 06:30:00,286.715,0.071,0.000,0.000,2681397.405,294.736,293.528,279.436,289.300,99550.000,287.626,99388.804,
2004-06-01 06:35:00,294.025,63.357,7453972.281,0.000,4400579.564,294.967,293.452,304.269,289.392,99558.333,290.047,99388.124,
2004-06-01 06:40:00,285.667,0.071,0.000,0.000,2681397.405,295.461,293.643,246.064,289.483,99566.667,287.117,99388.981,
2004-06-01 06:45:00,292.100,54.896,6457336.034,0.000,4170715.649,295.854,293.728,290.921,289.575,99575.000,288.836,99388.521,
2004-06-01 06:50:00,286.765,0.071,0.000,0.000,2681397.405,296.272,293.852,278.785,289.667,99583.333,287.537,99388.905,
2004-06-01 06:55:00,293.931,83.670,9832036.078,0.000,6021614.520,296.514,293.798,303.693,289.758,99591.667,289.792,99388.282,
2004-06-01 07:00:00,286.209,0.194,0.000,0.000,3753956.367,297.021,294.025,249.190,289.850,99600.000,287.244,99389.025,
2004-06-01 07:05:00,291.802,74.763,8782944.388,0.000,5779652.295,297.375,294.102,288.282,290.033,99600.000,288.587,99388.631,
2004-06-01 07:10:00,287.803,0.194,0.000,0.000,3753956.367,297.942,294.269,287.724,290.217,99600.000,288.052,99388.746,
2004-06-01 07:15:00,293.128,86.209,10131006.269,0.000,6090568.924,298.305,294.142,296.533,290.400,99600.000,289.458,99388.319,
2004-06-01 07:20:00,286.843,0.194,0.000,0.000,3753956.367,299.083,294.390,272.329,290.583,99600.000,287.702,99388.794,
2004-06-01 07:25:00,295.240,101.221,11899188.673,0.000,6498382.038,299.572,294.325,306.616,290.767,99600.000,290.334,99388.026,
2004-06-01 07:30:00,286.491,0.194,0.000,0.000,3753956.367,300.285,294.485,250.591,290.950,99600.000,287.624,99388.765,
2004-06-01 07:35:00,293.981,96.386,11329721.339,0.000,6367040.245,300.857,294.504,294.735,291.133,99600.000,289.597,99388.196,
2004-06-01 07:40:00,287.015,0.194,0.000,0.000,3753956.367,301.503,294.622,275.134,291.317,99600.000,287.927,99388.641,
