cur_datetime,canTemp,sensWaste,coolConsump[J],heatConsump[J],ElecTotal[J],wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[20.0],PresProf_cur[20.0],
2004-06-01 00:00:00,295.530,7.961,931606.881,0.000,2628123.225,300.000,300.000,300.000,291.250,99200.000,293.846,99385.460,
2004-06-01 00:05:00,293.083,0.051,0.000,0.000,2413257.665,299.853,299.853,298.677,291.258,99200.000,291.912,99386.346,
2004-06-01 00:10:00,291.907,0.051,0.000,0.000,2413257.665,299.525,299.525,289.634,291.267,99200.000,291.580,99386.438,
2004-06-01 00:15:00,292.418,0.051,0.000,0.000,2413257.665,298.997,298.997,289.817,291.275,99200.000,291.653,99386.418,
2004-06-01 00:20:00,291.805,0.051,0.000,0.000,2413257.665,298.587,298.587,289.793,291.283,99200.000,291.575,99386.438,
2004-06-01 00:25:00,292.652,0.051,0.000,0.000,2413257.665,298.193,298.193,289.922,291.292,99200.000,291.714,99386.399,
2004-06-01 00:30:00,292.052,0.051,0.000,0.000,2413257.665,297.957,297.957,289.895,291.300,99200.000,291.647,99386.414,
2004-06-01 00:35:00,292.930,0.051,0.000,0.000,2413257.665,297.677,297.677,290.168,291.308,99200.000,291.768,99386.381,
2004-06-01 00:40:00,292.004,0.051,0.000,0.000,2413257.665,297.564,297.564,290.189,291.317,99200.000,291.654,99386.408,
2004-06-01 00:45:00,292.765,0.051,0.000,0.000,2413257.665,297.345,297.345,290.649,291.325,99200.000,291.767,99386.377,
2004-06-01 00:50:00,291.862,0.051,0.000,0.000,2413257.665,297.279,297.279,290.340,291.333,99200.000,291.630,99386.411,
2004-06-01 00:55:00,292.737,0.051,0.000,0.000,2413257.665,297.071,297.071,290.732,291.342,99200.000,291.765,99386.375,
2004-06-01 01:00:00,291.807,0.051,0.000,0.000,2413257.665,297.032,297.032,290.331,291.350,99200.000,291.627,99386.409,
2004-06-01 01:05:00,292.747,0.051,0.000,0.000,2413257.665,296.838,296.838,290.734,291.350,99200.000,291.771,99386.371,
2004-06-01 01:10:00,291.760,0.051,0.000,0.000,2413257.665,296.823,296.823,290.347,291.350,99200.000,291.620,99386.411,
2004-06-01 01:15:00,292.740,0.051,0.000,0.000,2413257.665,296.638,296.638,290.761,291.350,99200.000,291.769,99386.373,
2004-06-01 01:20:00,291.709,0.051,0.000,0.000,2413257.665,296.640,296.640,290.308,291.350,99200.000,291.608,99386.415,
2004-06-01 01:25:00,292.730,0.051,0.000,0.000,2413257.665,296.461,296.461,290.750,291.350,99200.000,291.764,99386.375,
2004-06-01 01:30:00,291.659,0.051,0.000,0.000,2413257.665,296.476,296.476,290.251,291.350,99200.000,291.597,99386.419,
